Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5402-1	2019-11-29	2019-12-02	GRAFTON GAS & SERVICE	145.19	CAD	145.19	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 122.11L @1.189/L
					145.19	CAD	145.19	CAD							
TORONTO PARAMEDIC SERVICES	5403-1	2019-12-01	2019-12-03	SHELL	63.69	CAD	63.69	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 55.427L @$1.149/L
					63.69	CAD	63.69	CAD							
SOLID WASTE MANAGEMENT	5413-1	2019-12-13	2019-12-16	PETROCAN	106.66	CAD	106.66	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					106.66	CAD	106.66	CAD							
SOLID WASTE MANAGEMENT	5416-1	2019-12-18	2019-12-19	FLYING M TRUCK STOP	90.02	CAD	90.02	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					90.02	CAD	90.02	CAD							
SOLID WASTE MANAGEMENT	5405-1	2019-12-04	2019-12-05	PIONEER # 345	78.00	CAD	78.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					78.00	CAD	78.00	CAD							
SOLID WASTE MANAGEMENT	5420-1	2019-12-23	2019-12-25	PETROCAN	56.49	CAD	56.49	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5421-1	2019-12-24	2019-12-26	PETROCAN	51.55	CAD	51.55	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					108.04	CAD	108.04	CAD							
"PARKS, FORESTRY & RECREATION"	5406-1	2019-12-05	2019-12-06	WATER AND ICE NORTH AM	384.20	CAD	384.20	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	PROBE
"PARKS, FORESTRY & RECREATION"	5413-2	2019-12-13	2019-12-16	WATER AND ICE NORTH AM	677.99	CAD	677.99	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	PUMP
"PARKS, FORESTRY & RECREATION"	5418-1	2019-12-20	2019-12-23	WATER AND ICE NORTH AM	815.74	CAD	815.74	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	PUMP
					"1,877.93"	CAD	"1,877.93"	CAD							
"PARKS, FORESTRY & RECREATION"	5402-2	2019-12-01	2019-12-02	COSTCO WHOLESALE W547	92.50	CAD	92.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5300	Wholesale Clubs	"QUINOA SALAD, CREAMERS"
"PARKS, FORESTRY & RECREATION"	5402-3	2019-12-01	2019-12-02	COSTCO WHOLESALE W547	-22.36	CAD	-22.36	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5300	Wholesale Clubs	REFUND
"PARKS, FORESTRY & RECREATION"	5415-1	2019-12-16	2019-12-18	FITNESS DEPOT TORONTO	828.52	CAD	828.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04885	JJ PICCININNI-SUMMER CAMPS	5941	Sporting Goods Stores	"GLIDERS, BANDS"
"PARKS, FORESTRY & RECREATION"	5416-2	2019-12-17	2019-12-19	PAYPAL  BB-DEPOT	"2,917.95"	CAD	"2,917.95"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04885	JJ PICCININNI-SUMMER CAMPS	5499	Miscellaneous Food Stores - Convenience	CARDIO PUMP SET
"PARKS, FORESTRY & RECREATION"	5416-3	2019-12-18	2019-12-19	BEST BUY #57	203.28	CAD	203.28	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5732	Electronic Sales	USB
"PARKS, FORESTRY & RECREATION"	5417-1	2019-12-20	2019-12-20	AMAZON.CA Z07X63N93	155.18	CAD	155.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04885	JJ PICCININNI-SUMMER CAMPS	4816	Computer Network/Information Services	SKLZ BASKETBALL GOOGLES
"PARKS, FORESTRY & RECREATION"	5418-2	2019-12-20	2019-12-23	SAM'S NO FRILLS #3663	107.76	CAD	107.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13490	YORK CC - CAMPS	5411	"Grocery Stores, Supermarkets"	"GINGERBREAD HOUSE, COOKIES"
"PARKS, FORESTRY & RECREATION"	5418-3	2019-12-20	2019-12-23	DOLLARAMA # 523	64.13	CAD	64.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5310	Discount Stores	"WRAPPING PAPER, TISSUE, BAGS"
"PARKS, FORESTRY & RECREATION"	5418-4	2019-12-20	2019-12-23	SAMKO & MIKO TOY WAREH	108.48	CAD	108.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5942	Book Stores	ACTIVITY BOOKS
"PARKS, FORESTRY & RECREATION"	5418-5	2019-12-22	2019-12-23	SAM'S NO FRILLS #3663	43.66	CAD	43.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13490	YORK CC - CAMPS	5411	"Grocery Stores, Supermarkets"	GINGERBREAD COOKIES
"PARKS, FORESTRY & RECREATION"	5419-1	2019-12-23	2019-12-24	G & G ELECTRONICS	958.24	CAD	958.24	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06434	JJ PICCININNI-SPORTS	7629	"Appliance Repair Shops, Electrical and S"	TV STAND AND LOCKING CABINET
"PARKS, FORESTRY & RECREATION"	5419-2	2019-12-23	2019-12-24	WINTERGREEN LEARNING M	337.93	CAD	337.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	2741	Miscellaneous Publishing and Printing	"HOOP ALONG, TUMBLING MATS"
