Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5669-1	2020-11-19	2020-11-20	BREAKAWAY FUELS	70.00	CAD	70.00	CAD	4233	PCARD RECOVERIES	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	DISPUTED
TORONTO PARAMEDIC SERVICES	5669-2	2020-11-19	2020-11-20	BREAKAWAY FUELS	16.33	CAD	16.33	CAD	4233	PCARD RECOVERIES	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	DISPUTED
TORONTO PARAMEDIC SERVICES	5670-1	2020-11-19	2020-11-23	ESSO CIRCLE K	90.00	CAD	90.00	CAD	4233	PCARD RECOVERIES	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	DISPUTED
TORONTO PARAMEDIC SERVICES	5670-2	2020-11-19	2020-11-23	ESSO CIRCLE K	91.22	CAD	91.22	CAD	4233	PCARD RECOVERIES	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	DISPUTED
TORONTO PARAMEDIC SERVICES	5670-3	2020-11-19	2020-11-23	ESSO CIRCLE K	99.97	CAD	99.97	CAD	4233	PCARD RECOVERIES	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	DISPUTED
TORONTO PARAMEDIC SERVICES	5670-4	2020-11-19	2020-11-23	ESSO CIRCLE K	100.00	CAD	100.00	CAD	4233	PCARD RECOVERIES	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	DISPUTED
TORONTO PARAMEDIC SERVICES	5670-5	2020-11-19	2020-11-23	PETROCAN	90.00	CAD	90.00	CAD	4233	PCARD RECOVERIES	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	DISPUTED
					557.52	CAD	557.52	CAD							
SOLID WASTE MANAGEMENT	5656-1	2020-11-03	2020-11-04	FLYING M TRUCK STOP	78.52	CAD	78.52	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					78.52	CAD	78.52	CAD							
SOLID WASTE MANAGEMENT	5660-1	2020-11-05	2020-11-09	PETROCAN	42.11	CAD	42.11	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5660-2	2020-11-07	2020-11-09	PETROCAN	41.34	CAD	41.34	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5662-1	2020-11-09	2020-11-11	PETROCAN	40.18	CAD	40.18	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5669-3	2020-11-18	2020-11-20	PETROCAN	30.85	CAD	30.85	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
					154.48	CAD	154.48	CAD							
"PARKS, FORESTRY & RECREATION"	5654-1	2020-10-30	2020-11-02	WATER AND ICE NORTH AM	537.88	CAD	537.88	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	PROPS PH + ORP
"PARKS, FORESTRY & RECREATION"	5656-2	2020-11-03	2020-11-04	JJ DOWNS INDUSTRIAL	404.65	CAD	404.65	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	PLASTIC FITTING
"PARKS, FORESTRY & RECREATION"	5658-1	2020-11-04	2020-11-05	WATER AND ICE NORTH AM	"1,367.30"	CAD	"1,367.30"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	CENTER BOTTOM ELEMENT COVER
"PARKS, FORESTRY & RECREATION"	5660-3	2020-11-05	2020-11-09	THE HOME DEPOT #7080	73.28	CAD	73.28	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5200	Home Supply Warehouse	JB WATERWELD
"PARKS, FORESTRY & RECREATION"	5664-1	2020-11-12	2020-11-13	WATER AND ICE NORTH AM	"1,367.30"	CAD	"1,367.30"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	JB WATERWELD
"PARKS, FORESTRY & RECREATION"	5667-1	2020-11-17	2020-11-18	WATER AND ICE NORTH AM	751.22	CAD	751.22	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	PROBE AND PLASTIC NUT
"PARKS, FORESTRY & RECREATION"	5672-1	2020-11-24	2020-11-25	WATER AND ICE NORTH AM	"1,367.30"	CAD	"1,367.30"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	FILTER PADS
					"5,868.93"	CAD	"5,868.93"	CAD							
"PARKS, FORESTRY & RECREATION"	5656-3	2020-11-03	2020-11-04	SAM'S NO FRILLS #3663	60.64	CAD	60.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	APPLE JUICE GRANOLA BARS
