Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
SOLID WASTE MANAGEMENT	5685-1	2020-12-10	2020-12-11	FLYING M TRUCK STOP	84.00	CAD	84.00	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					84.00	CAD	84.00	CAD							
SOLID WASTE MANAGEMENT	5677-1	2020-11-30	2020-12-02	PETROCAN	48.34	CAD	48.34	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
SOLID WASTE MANAGEMENT	5690-1	2020-12-16	2020-12-18	PETROCAN	21.05	CAD	21.05	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
					69.39	CAD	69.39	CAD							
FLEET SERVICES	5676-1	2020-11-29	2020-12-01	WAL-MART # 3113	16.92	CAD	16.92	CAD	4995	OTHER EXPENSES	FL4001	FLEET SAFETY & TRAINING	5310	Discount Stores	P11 WALMART FRAME FOR RETIREMENT SCROLL
					16.92	CAD	16.92	CAD							
"PARKS, FORESTRY & RECREATION"	5677-2	2020-11-30	2020-12-02	CDN TIRE STORE #00459	988.35	CAD	988.35	CAD	2575	ELECTRICAL SUPPLIES	P00539	EASTERN BEACHES-TURF&HORT	5200	Home Supply Warehouse	TREE LIGHTS
"PARKS, FORESTRY & RECREATION"	5681-1	2020-12-04	2020-12-07	POWERTRADE ELECTRIC LT	"1,000.00"	CAD	"1,000.00"	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	1731	Electrical Contractors	"PVC EXPAND COUPLING, BOXES"
"PARKS, FORESTRY & RECREATION"	5683-1	2020-12-07	2020-12-09	POWERTRADE ELECTRIC LT	215.07	CAD	215.07	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	1731	Electrical Contractors	WEATHER PROOF COVERS
"PARKS, FORESTRY & RECREATION"	5686-1	2020-12-11	2020-12-14	POWERTRADE ELECTRIC LT	324.69	CAD	324.69	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5251	Hardware Stores	BULBS
"PARKS, FORESTRY & RECREATION"	5689-1	2020-12-16	2020-12-17	PAUL WOLF ELECTRIC & L	315.54	CAD	315.54	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	TECK CABLE & CONNECTORS
"PARKS, FORESTRY & RECREATION"	5691-1	2020-12-18	2020-12-21	PAUL WOLF ELECTRIC & L	776.17	CAD	776.17	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	BULBS
					"3,619.82"	CAD	"3,619.82"	CAD							
TORONTO WATER	5678-1	2020-12-01	2020-12-03	LOG BOOKS UNLIMITED	187.25	CAD	187.25	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7338	"Quick Copy, Reproduction, and Blueprinti"	LAB BOOK 572 FOR WA6
TORONTO WATER	5687-1	2020-12-14	2020-12-15	SHOPPERS DRUG MART #12	13.21	CAD	13.21	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	9402	Postal Services - Government Only	REGISTERED LETTER TO MOL
TORONTO WATER	5691-2	2020-12-19	2020-12-21	COSTCO WHOLESALE W159	94.87	CAD	94.87	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5300	Wholesale Clubs	BATTERIES
TORONTO WATER	5693-1	2020-12-22	2020-12-23	SHOPPERS DRUG MART #12	12.70	CAD	12.70	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	9402	Postal Services - Government Only	REGISTERED LETTER TO MOL
TORONTO WATER	5694-1	2020-12-22	2020-12-24	CDN TIRE STORE #00654	50.80	CAD	50.80	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	GUM REMOVER
TORONTO WATER	5694-2	2020-12-23	2020-12-24	CANADA COMPUTERS #16	29.36	CAD	29.36	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5734	Computer Software Stores	CABLE
					388.19	CAD	388.19	CAD							
"PARKS, FORESTRY & RECREATION"	5678-2	2020-12-01	2020-12-03	THE HOME DEPOT #7107	56.18	CAD	56.18	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	SNOW BRUSH
"PARKS, FORESTRY & RECREATION"	5681-2	2020-12-04	2020-12-07	THE HOME DEPOT #7107	24.84	CAD	24.84	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	HAMMER
"PARKS, FORESTRY & RECREATION"	5681-3	2020-12-05	2020-12-07	THE HOME DEPOT #7107	101.63	CAD	101.63	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	CHAINSAW CHAINS
"PARKS, FORESTRY & RECREATION"	5682-1	2020-12-04	2020-12-08	CDN TIRE STORE #00209	54.21	CAD	54.21	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	WINDSHIELD SQUEEGEES
"PARKS, FORESTRY & RECREATION"	5690-2	2020-12-16	2020-12-18	THE HOME DEPOT #7107	159.23	CAD	159.23	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	SNOW SHOVEL
