Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
FACILITIES MANAGEMENT	5856-52	2021-07-28	2021-07-29	PRIMETIME PAINT & PAPE	67.79	CAD	67.79	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61715586	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5231	"Glass, Paint, Wallpaper Stores"	PAINT
FACILITIES MANAGEMENT	5856-53	2021-07-28	2021-07-29	PRIMETIME PAINT & PAPE	109.37	CAD	109.37	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61712226	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5231	"Glass, Paint, Wallpaper Stores"	PAINT
FACILITIES MANAGEMENT	5857-54	2021-07-29	2021-07-30	DULUX PAINTS #8613	178.43	CAD	178.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61715308	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5231	"Glass, Paint, Wallpaper Stores"	PAINT
FACILITIES MANAGEMENT	5857-55	2021-07-29	2021-07-30	DULUX PAINTS #8613	120.77	CAD	120.77	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61694022	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5231	"Glass, Paint, Wallpaper Stores"	PAINT
FACILITIES MANAGEMENT	5857-56	2021-07-29	2021-07-30	DULUX PAINTS #8613	44.60	CAD	44.60	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61712226	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5231	"Glass, Paint, Wallpaper Stores"	PAINT
FACILITIES MANAGEMENT	5857-57	2021-07-29	2021-07-30	STAPLES STORE #26	50.23	CAD	50.23	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61714951	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5943	"Office, School Supply, and Stationery St"	STENCILS
					"2,558.70"	CAD	"2,558.70"	CAD							
TORONTO WATER	5835-55	2021-06-25	2021-07-01	PACIFIC FASTENERS (198	7.11	CAD	7.11	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5251	Hardware Stores	FASTENERS
TORONTO WATER	5838-50	2021-07-05	2021-07-06	MR METAL(ETOBICOKE) IN	145.01	CAD	145.01	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5839-81	2021-07-06	2021-07-07	MR METAL(ETOBICOKE) IN	259.90	CAD	259.90	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5839-82	2021-07-06	2021-07-07	LOCK-UP SERVICES	314.70	CAD	314.70	CAD	2730	LOCKS	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	7299	Other Services (Not Elsewhere Classified	LOCKS AND KEYS
TORONTO WATER	5839-83	2021-07-06	2021-07-07	ATLAS TOOLS & MACHINER	"1,333.11"	CAD	"1,333.11"	CAD	3080	M & E - HAND TOOLS	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5251	Hardware Stores	BATTERY OPERATEED TOOLS
TORONTO WATER	5842-58	2021-07-08	2021-07-09	PRINCESS AUTO 12	317.43	CAD	317.43	CAD	3080	M & E - HAND TOOLS	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5085	Industrial Supplies Not Elsewhere Classi	HAND TOOLS & LADDERS
TORONTO WATER	5842-59	2021-07-08	2021-07-09	PRINCESS AUTO 12	-81.32	CAD	-81.32	CAD	3080	M & E - HAND TOOLS	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5085	Industrial Supplies Not Elsewhere Classi	RETURN AND REFUND
TORONTO WATER	5843-68	2021-07-08	2021-07-12	THE HOME DEPOT #7011	79.90	CAD	79.90	CAD	3080	M & E - HAND TOOLS	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5200	Home Supply Warehouse	**MORE**  MIL HOLE DZR
TORONTO WATER	5843-69	2021-07-06	2021-07-12	PACIFIC FASTENERS (198	37.84	CAD	37.84	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5251	Hardware Stores	CAPS AND NUTS
TORONTO WATER	5846-58	2021-07-14	2021-07-15	MR METAL(ETOBICOKE) IN	154.67	CAD	154.67	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5846-59	2021-07-14	2021-07-15	MR METAL(ETOBICOKE) IN	15.93	CAD	15.93	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5846-60	2021-07-09	2021-07-15	PACIFIC FASTENERS (198	68.00	CAD	68.00	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5251	Hardware Stores	FASTENERS
TORONTO WATER	5848-87	2021-07-16	2021-07-19	RONA # 55010	12.32	CAD	12.32	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5251	Hardware Stores	FASTENERS
TORONTO WATER	5848-88	2021-07-16	2021-07-19	MR METAL(ETOBICOKE) IN	107.98	CAD	107.98	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5849-41	2021-07-16	2021-07-20	CDN TIRE STORE #00152	89.18	CAD	89.18	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5200	Home Supply Warehouse	BUTANE FUEL & LATCH
TORONTO WATER	5851-73	2021-07-21	2021-07-22	350 WESTLUND RANGEVIEW	413.58	CAD	413.58	CAD	2590	EMERGENCY SERVICES SUPPLIES	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5039	Construction Materials Not Elsewhere Cla	BACKFLOW TESTER CERTIFICATION
TORONTO WATER	5852-43	2021-07-21	2021-07-23	CDN TIRE STORE #00070	67.96	CAD	67.96	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5200	Home Supply Warehouse	"SILICONES, CAULKING GUN"
TORONTO WATER	5853-87	2021-07-23	2021-07-26	LOWES #03096	199.00	CAD	199.00	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5200	Home Supply Warehouse	**MORE**  PLASTIC SHOPPING BAG
TORONTO WATER	5853-88	2021-07-23	2021-07-26	MR METAL(ETOBICOKE) IN	447.95	CAD	447.95	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5854-34	2021-07-26	2021-07-27	MR METAL(ETOBICOKE) IN	48.58	CAD	48.58	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5855-51	2021-07-27	2021-07-28	MR METAL(ETOBICOKE) IN	138.93	CAD	138.93	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5051	Metal Service Centers and Offices	METAL MATERIALS
TORONTO WATER	5855-52	2021-07-27	2021-07-28	JJ DOWNS INDUSTRIAL	55.32	CAD	55.32	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5085	Industrial Supplies Not Elsewhere Classi	PVC & PLASTIC MATERIALS
TORONTO WATER	5856-54	2021-07-27	2021-07-29	CDN TIRE STORE #00070	19.20	CAD	19.20	CAD	2710	GENERAL HARDWARE	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5200	Home Supply Warehouse	EXTENSION CORDS
TORONTO WATER	5856-55	2021-07-26	2021-07-29	PACIFIC FASTENERS (198	52.30	CAD	52.30	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW4080	WW TREATMNT: HUMBER TP - WA 3  LQD SEC	5251	Hardware Stores	FASTENERS
					"4,304.58"	CAD	"4,304.58"	CAD							
TORONTO WATER	5847-64	2021-07-15	2021-07-16	WWW.WEATHERBIT.IO	224.70	CAD	175.00	USD	3420	COMPUTERS - SOFTWARE	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5734	Computer Software Stores	WEATHERBIT DATA SOURCE FOR TOO
					224.70	CAD	175.00	USD							
TORONTO WATER	5842-60	2021-07-07	2021-07-09	POWERTRADE ELECTRIC LT	168.76	CAD	168.76	CAD	2575	ELECTRICAL SUPPLIES	TW7072	WTR TREAT & SUPPLY:TRANSMISSION-EAST SVC	1731	Electrical Contractors	FAN CONTACTORS
					168.76	CAD	168.76	CAD							
TORONTO WATER	5857-58	2021-07-28	2021-07-30	HACH CANADA	736.32	CAD	736.32	CAD	2710	GENERAL HARDWARE	TW2035	D&C: PROGRAM MAINTENANCE	5732	Electronic Sales	SPEC COLOR STD AND GELEX STD SET
					736.32	CAD	736.32	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5836-21	2021-07-01	2021-07-02	DIGITALOCEAN.COM	138.36	CAD	108.64	USD	4995	OTHER EXPENSES	ED0139	BGS ES SMALL BUSINESS SERVICES	7372	"Computer Programming, Integrated Systems"	WEB-BASED CLOUD INFRASTRUCTURE FOR APP MANAGEMENT
ECONOMIC DEVELOPMENT & CULTURE	5836-22	2021-07-01	2021-07-02	SERVERPILOT.IO	12.74	CAD	10.00	USD	4995	OTHER EXPENSES	ED0139	BGS ES SMALL BUSINESS SERVICES	7372	"Computer Programming, Integrated Systems"	WEB-BASED SERVER MANAGEMENT
ECONOMIC DEVELOPMENT & CULTURE	5838-51	2021-07-05	2021-07-06	MAILCHIMP    MISC	548.70	CAD	548.70	CAD	4414	ADVERTISING & PROMOTION	ED0139	BGS ES SMALL BUSINESS SERVICES	5968	Direct Marketing - Continuity/Subscripti	ONLINE ADVERTISING/MARKETING
ECONOMIC DEVELOPMENT & CULTURE	5848-89	2021-07-17	2021-07-19	DROPBOXINCCADCARDSPRO	"2,730.00"	CAD	"2,730.00"	CAD	4995	OTHER EXPENSES	ED0139	BGS ES SMALL BUSINESS SERVICES	4816	Computer Network/Information Services	FILE SHARING AND CLOUD STORAGE
ECONOMIC DEVELOPMENT & CULTURE	5850-62	2021-07-20	2021-07-21	WWW.GROWTHWHEEL.COM	976.32	CAD	976.32	CAD	4830	PERMIT & LICENSE FEES	ED0139	BGS ES SMALL BUSINESS SERVICES	5734	Computer Software Stores	BUSINESS CONSULTING PLATFORM LICENSES FOR JULY
ECONOMIC DEVELOPMENT & CULTURE	5850-63	2021-07-20	2021-07-21	WORKATO	694.44	CAD	529.00	USD	4414	ADVERTISING & PROMOTION	ED0139	BGS ES SMALL BUSINESS SERVICES	5734	Computer Software Stores	ONLINE ADVERTISING/MARKETING
ECONOMIC DEVELOPMENT & CULTURE	5852-44	2021-07-22	2021-07-23	WWW.GROWTHWHEEL.COM	976.32	CAD	976.32	CAD	4830	PERMIT & LICENSE FEES	ED0139	BGS ES SMALL BUSINESS SERVICES	5734	Computer Software Stores	BUSINESS CONSULTING PLATFORM LICENSES (OVERDUE MAR 2021)
					"6,076.88"	CAD	"5,231.34"	CAD							
							647.64	USD							
TORONTO WATER	5836-23	2021-06-30	2021-07-02	MECP-HWIN WEB	51.65	CAD	51.65	CAD	4860	HAZARDOUS WASTE REMOVAL	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	9399	Government Services - Not Elsewhere Clas	HAZARD WASTE MANIFEST
TORONTO WATER	5837-63	2021-07-03	2021-07-05	CINTAS CANADA 33G	74.57	CAD	74.57	CAD	4419	LAUNDRY SERVICES	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	7296	"Clothing Rental - Costumes, Uniforms and"	STAFF LAUNDRY
TORONTO WATER	5839-84	2021-07-05	2021-07-07	THE HOME DEPOT #7107	408.51	CAD	408.51	CAD	2710	GENERAL HARDWARE	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	5200	Home Supply Warehouse	**MORE**  LAC TH 3.78L
TORONTO WATER	5842-61	2021-07-07	2021-07-09	THE HOME DEPOT CANADA	201.14	CAD	201.14	CAD	2570	JANITORIAL SUPPLIES	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	5200	Home Supply Warehouse	LEAF BLOWER
TORONTO WATER	5842-62	2021-07-07	2021-07-09	THE HOME DEPOT CANADA	281.37	CAD	281.37	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	5200	Home Supply Warehouse	BATTERY
TORONTO WATER	5843-70	2021-07-09	2021-07-12	CINTAS CANADA 33G	72.89	CAD	72.89	CAD	4419	LAUNDRY SERVICES	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	7296	"Clothing Rental - Costumes, Uniforms and"	STAFF LAUNDRY
TORONTO WATER	5848-90	2021-07-17	2021-07-19	CINTAS CANADA 33G	80.79	CAD	80.79	CAD	4419	LAUNDRY SERVICES	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	7296	"Clothing Rental - Costumes, Uniforms and"	STAFF LAUNDRY
TORONTO WATER	5852-45	2021-07-22	2021-07-23	COSTCO BUSINESS CENTER	137.48	CAD	137.48	CAD	2570	JANITORIAL SUPPLIES	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	5300	Wholesale Clubs	"SPRAY BOTTLES, PINSOL, DISH SOAP"
TORONTO WATER	5853-89	2021-07-23	2021-07-26	CINTAS CANADA 33G	116.97	CAD	116.97	CAD	4419	LAUNDRY SERVICES	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	7296	"Clothing Rental - Costumes, Uniforms and"	STAFF LAUNDRY
TORONTO WATER	5857-59	2021-07-30	2021-07-30	AMAZON.CA 2P2E13LR0	387.45	CAD	387.45	CAD	2575	ELECTRICAL SUPPLIES	TW7035	WTR TREAT & SUPPLY:RC HARRIS TP-SERVICE	4816	Computer Network/Information Services	CLAMP ON POWER BARS
					"1,812.82"	CAD	"1,812.82"	CAD							
TORONTO WATER	5836-24	2021-06-30	2021-07-02	THE HOME DEPOT #7107	102.64	CAD	102.64	CAD	2710	GENERAL HARDWARE	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5200	Home Supply Warehouse	**MORE**  TRMCLD 3.78L
TORONTO WATER	5839-85	2021-07-05	2021-07-07	THE HOME DEPOT #7027	45.09	CAD	45.09	CAD	2535	PLUMBING SUPPLIES	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5200	Home Supply Warehouse	**MORE**  WASHERS
TORONTO WATER	5839-86	2021-07-05	2021-07-07	NEXT SUPPLY	43.81	CAD	43.81	CAD	2535	PLUMBING SUPPLIES	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5251	Hardware Stores	"COUPLINGS, ELBOWS AND ADAPTER"
TORONTO WATER	5839-87	2021-07-05	2021-07-07	NEXT SUPPLY	80.47	CAD	80.47	CAD	2535	PLUMBING SUPPLIES	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5251	Hardware Stores	"HYDRANT, ELBOW AND ADAPTER"
TORONTO WATER	5841-54	2021-07-06	2021-07-08	APPLIED INDUSTRIAL TEC	21.41	CAD	21.41	CAD	2710	GENERAL HARDWARE	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5085	Industrial Supplies Not Elsewhere Classi	TORQUE
TORONTO WATER	5845-60	2021-07-13	2021-07-14	MR METAL(ETOBICOKE) IN	563.42	CAD	563.42	CAD	2532	STEEL	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5051	Metal Service Centers and Offices	STEEL
TORONTO WATER	5855-53	2021-07-27	2021-07-28	MR METAL(ETOBICOKE) IN	127.86	CAD	127.86	CAD	2532	STEEL	TW2060	D&C: WASTEWATER & STORMWATER PUMPING	5051	Metal Service Centers and Offices	STEEL
					984.70	CAD	984.70	CAD							
OFFICE OF EMERGENCY MANAGEMENT	5848-91	2021-07-16	2021-07-19	IN  REVOLUTION GROUP I	"3,245.50"	CAD	"3,245.50"	CAD	4823	MEALS-OUTSIDE LOC'S	DB7000	ENCAMPMENT ACTIVITIES	5811	Caterers	BAGGED LUNCHES FOR ALEXANDRA PARK ENCAMPMENT
OFFICE OF EMERGENCY MANAGEMENT	5848-92	2021-07-16	2021-07-19	IN  REVOLUTION GROUP I	"3,245.50"	CAD	"3,245.50"	CAD	4823	MEALS-OUTSIDE LOC'S	DB7000	ENCAMPMENT ACTIVITIES	5811	Caterers	BAGGED LUNCHES FOR LAMPORT STADIUM - ENCAMPMENT
OFFICE OF EMERGENCY MANAGEMENT	5849-42	2021-07-19	2021-07-20	COSTCO WHOLESALE W1316	911.80	CAD	911.80	CAD	4823	MEALS-OUTSIDE LOC'S	DB7000	ENCAMPMENT ACTIVITIES	5300	Wholesale Clubs	"SNACKS FOR ENCAMPMENT ACTIVITIES, ALEXANDRA PARK AND LAMPORT S"
					"7,402.80"	CAD	"7,402.80"	CAD							
TORONTO WATER	5844-36	2021-07-12	2021-07-13	AMZN MKTP CA 2E4DA13C1	185.30	CAD	185.30	CAD	2650	COMPUTER AND PRINTER SUPPLIES	TW2040	D&C: CONSTR. SERVICES: SOUTH & EAST	4816	Computer Network/Information Services	"HEADPHONES, KEYBOARD, PHONE STAND"
TORONTO WATER	5845-61	2021-07-13	2021-07-14	AMZN MKTP CA 2965J2YM0	23.70	CAD	23.70	CAD	2650	COMPUTER AND PRINTER SUPPLIES	TW2040	D&C: CONSTR. SERVICES: SOUTH & EAST	4816	Computer Network/Information Services	HEADPHONES
					209.00	CAD	209.00	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5837-64	2021-07-04	2021-07-05	NYTIMES NYTIMES	22.60	CAD	22.60	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	ED0127	BGS SD FOOD/BEVERAGE SERVICES	5968	Direct Marketing - Continuity/Subscripti	NEW YORK TIMES DIGITAL SUBSCRIPTION
					22.60	CAD	22.60	CAD							
TORONTO WATER	5843-71	2021-07-10	2021-07-12	CANADIAN STANDARDS ASS	141.25	CAD	141.25	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW6010	C&TS: CAPITAL WORKS DELIVERY	8398	"Organizations, Charitable and Social Ser"	CODES AND STANDARDS
TORONTO WATER	5846-61	2021-07-14	2021-07-15	HURST COMMUNICATIONS	224.87	CAD	224.87	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TW6010	C&TS: CAPITAL WORKS DELIVERY	8299	Educational Services	ARC FLASH TRAINING
TORONTO WATER	5846-62	2021-07-14	2021-07-15	HURST COMMUNICATIONS	224.87	CAD	224.87	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TW6010	C&TS: CAPITAL WORKS DELIVERY	8299	Educational Services	ARC FLASH TRAINING
					590.99	CAD	590.99	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5837-65	2021-07-04	2021-07-05	RONA # 55130	28.19	CAD	28.19	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0094	MH MUS SPADINA MUSEUM ADMINISTRATION	5251	Hardware Stores	5 BAGS COMPOST
ECONOMIC DEVELOPMENT & CULTURE	5837-66	2021-07-04	2021-07-05	RONA # 55130	80.77	CAD	80.77	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0094	MH MUS SPADINA MUSEUM ADMINISTRATION	5251	Hardware Stores	10 BAGS COMPOST
ECONOMIC DEVELOPMENT & CULTURE	5837-67	2021-07-03	2021-07-05	JADE GARDENS	19.20	CAD	19.20	CAD	2499	OTHER CHEMICALS	AH0094	MH MUS SPADINA MUSEUM ADMINISTRATION	5261	Lawn and Garden Supply Stores	BTK PESTICIDE
ECONOMIC DEVELOPMENT & CULTURE	5849-43	2021-07-19	2021-07-20	COHEN AND MASTER TREE	497.20	CAD	497.20	CAD	4409	CONTR SRV - LANDSCPG	AH0151	MH OS SPADINA MUSEUM FACILITY OPERATIONS	0780	Horticultural and Landscaping Services	REMOVE BROKEN BRANCHES ON APPLE
					625.36	CAD	625.36	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5848-93	2021-07-16	2021-07-19	FRESHCO #3850	91.39	CAD	91.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	MH FY FORT YORK PROGRAMMING	5411	"Grocery Stores, Supermarkets"	"DETERGENT, SOAPS AND SANITIZER FOR KITCHEN"
ECONOMIC DEVELOPMENT & CULTURE	5849-44	2021-07-19	2021-07-20	AMAZON.CA 2E0DJ7DA1	440.69	CAD	440.69	CAD	3050	M & E - KITCHEN	AH0091	MH FY FORT YORK ADMINISTRATION	4816	Computer Network/Information Services	REPLACEMENT PRESSURE COOKER/FRYER
ECONOMIC DEVELOPMENT & CULTURE	5850-64	2021-07-20	2021-07-21	PARTS TOWN	215.78	CAD	215.78	CAD	3050	M & E - KITCHEN	AH0073	MH FY FORT YORK PROGRAMMING	5085	Industrial Supplies Not Elsewhere Classi	CAST IRON RING GRATES FOR GAS STOVE
					747.86	CAD	747.86	CAD							
FACILITIES MANAGEMENT	5839-88	2021-07-05	2021-07-07	THE HOME DEPOT #7001	40.74	CAD	40.74	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0151	703 DON MILLS-OPS-NORTH (COMPUTER CENTR)	5200	Home Supply Warehouse	**MORE**  TAPE
FACILITIES MANAGEMENT	5843-72	2021-07-09	2021-07-12	THE HOME DEPOT #7027	78.04	CAD	78.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA2573	60 TIFFIELD-OPS-EAST-WATER	5200	Home Supply Warehouse	**MORE**  FLEX SCRAPER
FACILITIES MANAGEMENT	5845-62	2021-07-13	2021-07-14	TECHNICAL STANDARDS AN	56.50	CAD	56.50	CAD	4065	TECHNICAL SERVICES - QUALITY ASSURANCE	FA2972	"ADMIN-CRITICAL, FM EMERGENCT"	1799	"Contractors, Special Trade - Not Elsewhe"	TSSA FILE INVESTIGATION
FACILITIES MANAGEMENT	5847-65	2021-07-14	2021-07-16	THE HOME DEPOT #7073	109.00	CAD	109.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0151	703 DON MILLS-OPS-NORTH (COMPUTER CENTR)	5200	Home Supply Warehouse	**MORE**  25YDGORTAPE
FACILITIES MANAGEMENT	5849-45	2021-07-18	2021-07-20	THE HOME DEPOT #7249	22.58	CAD	22.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0151	703 DON MILLS-OPS-NORTH (COMPUTER CENTR)	5200	Home Supply Warehouse	JIG SAW BL. (RETURNED & REFUNDED)
FACILITIES MANAGEMENT	5850-65	2021-07-19	2021-07-21	THE HOME DEPOT #7249	-22.58	CAD	-22.58	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0151	703 DON MILLS-OPS-NORTH (COMPUTER CENTR)	5200	Home Supply Warehouse	**MORE**  JIG SAW BL.
FACILITIES MANAGEMENT	5850-66	2021-07-19	2021-07-21	THE HOME DEPOT #7249	31.59	CAD	31.59	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0151	703 DON MILLS-OPS-NORTH (COMPUTER CENTR)	5200	Home Supply Warehouse	JIG SAW BL.
FACILITIES MANAGEMENT	5852-46	2021-07-22	2021-07-23	TECHNICAL STANDARDS AN	56.50	CAD	56.50	CAD	4424	CONTRACTED SERVICES - GENERAL	FA2573	60 TIFFIELD-OPS-EAST-WATER	1799	"Contractors, Special Trade - Not Elsewhe"	CONTRACTOR WORK
FACILITIES MANAGEMENT	5853-90	2021-07-24	2021-07-26	CANADA COMPUTERS #28	21.46	CAD	21.46	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	FA0151	703 DON MILLS-OPS-NORTH (COMPUTER CENTR)	5734	Computer Software Stores	PRESSURIZED AIR
					393.83	CAD	393.83	CAD							
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5841-55	2021-07-07	2021-07-08	SP   BED BUG SOS	"3,389.93"	CAD	"3,389.93"	CAD	2082	HEALTH & SAFETY SUPPLIES	HS100X	SSHA EMERGENCY EVENT RESPONSE	5399	Miscellaneous General Merchandise	ZAPPBUG OVEN - 2180 ISLINGTON FOUR POINTS
					"3,389.93"	CAD	"3,389.93"	CAD							
EMPLOYMENT & SOCIAL SERVICES	5857-60	2021-07-28	2021-07-30	PAYPAL  GOLEFTCREAT	250.00	CAD	250.00	CAD	4995	OTHER EXPENSES	C01212	LAWRENCE SQUARE-ADMIN	7392	"Consulting, Management, and Public Relat"	HONORARIUM FOR CARI-JAM EVENT JULY 28/2021
					250.00	CAD	250.00	CAD							
FACILITIES MANAGEMENT	5839-89	2021-07-06	2021-07-07	APPLEBY LOCK	683.65	CAD	683.65	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61696719	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	DOORS
FACILITIES MANAGEMENT	5839-90	2021-07-06	2021-07-07	APPLEBY LOCK	"2,599.00"	CAD	"2,599.00"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61689862	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	DOOR
FACILITIES MANAGEMENT	5843-73	2021-07-09	2021-07-12	ROYAL SECURITY DISTRIB	184.54	CAD	184.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0351	ADMIN-FACILITIES OPERATIONS-SOUTH	7399	Business Services - Not Elsewhere Classi	MATERIAL
FACILITIES MANAGEMENT	5843-74	2021-07-09	2021-07-12	ROYAL SECURITY DISTRIB	161.94	CAD	161.94	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	FA0351	ADMIN-FACILITIES OPERATIONS-SOUTH	7399	Business Services - Not Elsewhere Classi	MATERIAL
					"3,629.13"	CAD	"3,629.13"	CAD							
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5843-75	2021-07-08	2021-07-12	THE HOME DEPOT #7080	"1,159.15"	CAD	"1,159.15"	CAD	2710	GENERAL HARDWARE	F01123	SEATON HOUSE-PROPERTY SERV	5200	Home Supply Warehouse	**MORE**  MONO SILICON
"SHELTER, SUPPORT & HOUSING ADMINSTRATION"	5843-76	2021-07-08	2021-07-12	CDN TIRE STORE #00654	597.58	CAD	597.58	CAD	2710	GENERAL HARDWARE	F01123	SEATON HOUSE-PROPERTY SERV	5200	Home Supply Warehouse	"PURACHASE OF VARIOUS HARDWARE ITEMS SUCH AS ADJUSTABLE WRENCH-SET OF 2 PCS, VISE-GRIP STRAINGHT-JAW, TAPE MEASURE FOR SH"
