Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5909-1	2021-10-05	2021-10-07	ESSO CIRCLE K	80.00	CAD	80.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5542	"Fuel Dispenser, Automated"	FUEL 56.778L@$1.409/L
					80.00	CAD	80.00	CAD							
TORONTO PARAMEDIC SERVICES	5921-1	2021-10-22	2021-10-25	PETROCAN	3.83	CAD	3.83	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 2.094L@$1.829/L
TORONTO PARAMEDIC SERVICES	5921-2	2021-10-22	2021-10-25	ESSO CIRCLE K	35.36	CAD	35.36	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5542	"Fuel Dispenser, Automated"	FUEL 19.437L@$1.819/L
					39.19	CAD	39.19	CAD							
TORONTO PARAMEDIC SERVICES	5922-1	2021-10-24	2021-10-26	PETROCAN	80.00	CAD	80.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 56.022L@$1.428/L
					80.00	CAD	80.00	CAD							
TORONTO PARAMEDIC SERVICES	5920-1	2021-10-20	2021-10-22	KWICK STOP ESSO	95.96	CAD	95.96	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 66.273L@$1.449/L
					95.96	CAD	95.96	CAD							
SOLID WASTE MANAGEMENT	5911-1	2021-10-08	2021-10-11	MOBIL@  - 4273	70.45	CAD	70.45	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					70.45	CAD	70.45	CAD							
SOLID WASTE MANAGEMENT	5905-1	2021-09-30	2021-10-04	SUNSET DRIVE ESSO	108.07	CAD	108.07	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					108.07	CAD	108.07	CAD							
