Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
SOLID WASTE MANAGEMENT	5202-13	2019-03-05	2019-03-06	PETROCAN	106.84	CAD	106.84	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5216-26	2019-03-20	2019-03-21	PETROCAN	108.68	CAD	108.68	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					215.52	CAD	215.52	CAD							
SOLID WASTE MANAGEMENT	5210-23	2019-03-13	2019-03-13	FLYING M TRUCK STOP	86.69	CAD	86.69	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					86.69	CAD	86.69	CAD							
SOLID WASTE MANAGEMENT	5209-5	2019-03-12	2019-03-12	FLYING M TRUCK STOP	80.04	CAD	80.04	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5216-27	2019-03-21	2019-03-21	FLYING M TRUCK STOP	86.03	CAD	86.03	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					166.07	CAD	166.07	CAD							
SOLID WASTE MANAGEMENT	5203-31	2019-03-06	2019-03-07	PETROCAN	90.30	CAD	90.30	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					90.30	CAD	90.30	CAD							
"PARKS, FORESTRY & RECREATION"	5197-1	2019-03-01	2019-03-01	JJ DOWNS INDUSTRIAL	478.15	CAD	478.15	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	CHECK VALVE 1/2
"PARKS, FORESTRY & RECREATION"	5203-72	2019-03-07	2019-03-07	WATER AND ICE NORTH AM	996.66	CAD	996.66	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5210-50	2019-03-13	2019-03-13	WATER AND ICE NORTH AM	506.24	CAD	506.24	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5210-51	2019-03-13	2019-03-13	JJ DOWNS INDUSTRIAL	178.16	CAD	178.16	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5211-79	2019-03-15	2019-03-15	WATER AND ICE NORTH AM	514.15	CAD	514.15	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5216-64	2019-03-21	2019-03-21	WATER AND ICE NORTH AM	215.83	CAD	215.83	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5217-16	2019-03-22	2019-03-22	THE HOME DEPOT #7013	628.94	CAD	628.94	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5200	Home Supply Warehouse	**MORE**  5PC SET
"PARKS, FORESTRY & RECREATION"	5221-65	2019-03-28	2019-03-28	CTF SUPPLY (11)	99.56	CAD	99.56	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES
					"3,617.69"	CAD	"3,617.69"	CAD							
"PARKS, FORESTRY & RECREATION"	5197-2	2019-03-01	2019-03-01	NOFRILLS ROSS 782	7.00	CAD	7.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM - GROCERIES
"PARKS, FORESTRY & RECREATION"	5221-66	2019-03-29	2019-03-29	NOFRILLS ROSS 782	131.36	CAD	131.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM
					138.36	CAD	138.36	CAD							
"PARKS, FORESTRY & RECREATION"	5211-80	2019-03-14	2019-03-14	THE HOME DEPOT #7027	46.31	CAD	46.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5200	Home Supply Warehouse	HOOKS
"PARKS, FORESTRY & RECREATION"	5211-81	2019-03-14	2019-03-14	THE HOME DEPOT #7027	20.32	CAD	20.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5200	Home Supply Warehouse	LIGHT BULB
"PARKS, FORESTRY & RECREATION"	5211-82	2019-03-15	2019-03-15	DOLLARAMA # 309	29.44	CAD	29.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5310	Discount Stores	"MIRRORS, BASKETS"
"PARKS, FORESTRY & RECREATION"	5211-83	2019-03-15	2019-03-15	DOLLARAMA # 896	5.99	CAD	5.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5310	Discount Stores	BATTERIES FOR WALL CLOCK
"PARKS, FORESTRY & RECREATION"	5211-84	2019-03-14	2019-03-14	DOLLARAMA # 447	68.08	CAD	68.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5310	Discount Stores	DECORATIONS
"PARKS, FORESTRY & RECREATION"	5211-85	2019-03-14	2019-03-14	SCHOLAR S CHOICE	156.86	CAD	156.86	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5949	"Fabric, Needlework, Piece Goods, and Sew"	"TRIMMERS, BORDERS"
"PARKS, FORESTRY & RECREATION"	5211-86	2019-03-14	2019-03-14	LOWES #02633*	135.57	CAD	135.57	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5200	Home Supply Warehouse	SFE BLACK CHECKER WALLPAPE
"PARKS, FORESTRY & RECREATION"	5211-87	2019-03-14	2019-03-14	LOWES #02633*	90.43	CAD	90.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  SFE BLACK CHECKER WALLPAPE
"PARKS, FORESTRY & RECREATION"	5216-65	2019-03-21	2019-03-21	THE HOME DEPOT #7001	32.15	CAD	32.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5200	Home Supply Warehouse	COMMAND
"PARKS, FORESTRY & RECREATION"	5220-1	2019-03-26	2019-03-27	WAL-MART #3159	24.18	CAD	24.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FRUITS
					609.33	CAD	609.33	CAD							
