Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
SOLID WASTE MANAGEMENT	5245-1	2019-04-30	2019-05-01	PETROCAN	119.75	CAD	119.75	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5256-1	2019-05-14	2019-05-15	PETROCAN	111.09	CAD	111.09	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5264-1	2019-05-27	2019-05-28	PETROCAN	50.00	CAD	50.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					280.84	CAD	280.84	CAD							
SOLID WASTE MANAGEMENT	5252-1	2019-05-10	2019-05-10	FLYING M TRUCK STOP	106.11	CAD	106.11	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					106.11	CAD	106.11	CAD							
SOLID WASTE MANAGEMENT	5260-1	2019-05-22	2019-05-22	FLYING M TRUCK STOP	110.27	CAD	110.27	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					110.27	CAD	110.27	CAD							
SOLID WASTE MANAGEMENT	5246-1	2019-05-01	2019-05-02	PETROCAN	74.01	CAD	74.01	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					74.01	CAD	74.01	CAD							
FIRE SERVICES	5266-1	2019-05-31	2019-05-31	PILOT         00006957	118.77	CAD	85.44	USD	4230	BUSINESS TRAV - OTHER EXPENSES	FR0026	HUSAR-PROVINCE	5541	Service Stations (with or without Ancill	FUEL - FEMA SESSION
					118.77	CAD	85.44	USD							
TORONTO PARAMEDIC SERVICES	5265-1	2019-05-29	2019-05-29	ULTRAMAR #32672	55.96	CAD	55.96	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					55.96	CAD	55.96	CAD							
SOLID WASTE MANAGEMENT	5255-1	2019-05-13	2019-05-14	PETROCAN	75.00	CAD	75.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE
					75.00	CAD	75.00	CAD							
"PARKS, FORESTRY & RECREATION"	5247-1	2019-05-03	2019-05-03	BRAFASCO / ETOBICOKE	58.32	CAD	58.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5252-2	2019-05-10	2019-05-10	ATLAS TOOLS & MACHINER	151.70	CAD	151.70	CAD	3080	M & E - HAND TOOLS	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5251	Hardware Stores	HJHJHJ
