Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4685-1	2017-08-09	2017-08-10	FACEBK Z2CR6DJCV2	30.02 	CAD	30.02 	CAD	4414	ADVERTISING & PROMOTION	PH3557	PRENATAL	7311	Advertising Services	FACEBOOK BLOG	
PUBLIC HEALTH	4691-1	2017-08-12	2017-08-14	FACEBK WE9V6E2DV2	45.46 	CAD	45.46 	CAD	4414	ADVERTISING & PROMOTION	PH3557	PRENATAL	7311	Advertising Services	FACEBOOK BLOG	
PUBLIC HEALTH	4691-2	2017-08-12	2017-08-14	FACEBK XE9V6E2DV2	14.55 	CAD	14.55 	CAD	4414	ADVERTISING & PROMOTION	PH3557	PRENATAL	7311	Advertising Services	FACEBOOK BLOG	
PUBLIC HEALTH	4706-1	2017-08-24	2017-08-24	FACEBK G8B4CDJCV2	226.92 	CAD	226.92 	CAD	4414	ADVERTISING & PROMOTION	PH3557	PRENATAL	7311	Advertising Services	FACEBOOK BLOG	
PUBLIC HEALTH	4706-2	2017-08-24	2017-08-24	FACEBK H8B4CDJCV2	74.33 	CAD	74.33 	CAD	4414	ADVERTISING & PROMOTION	PH3557	PRENATAL	7311	Advertising Services	FACEBOOK BLOG	
					391.28 	CAD	391.28 	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4678-1	2017-08-06	2017-08-07	METRO #720	388.58 	CAD	388.58 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR VOLUNTEERS AND DEMO PARTICIPANTS	
ECONOMIC DEVELOPMENT & CULTURE	4691-3	2017-08-11	2017-08-14	DJ RAIN  CO LTD	160.46 	CAD	160.46 	CAD	4409	CONTR SRV - LANDSCPG	AH0154	CD-AM-FACILITY MGMT-FORT YORK	0780	Horticultural and Landscaping Services	LAWN SYSTEM SPRINKLER SERVICE	
ECONOMIC DEVELOPMENT & CULTURE	4710-1	2017-08-28	2017-08-29	CANADIAN APPLIANCE SOU	660.48 	CAD	660.48 	CAD	3099	GENERAL EQUIPMENT	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5722	Household Appliance Stores	WASHING MACHINE - 25% DOWN PAYMENT REQUIRED	
					"1,209.52 "	CAD	"1,209.52 "	CAD								
"PARKS, FORESTRY & RECREATION"	4673-1	2017-08-01	2017-08-02	FOOD BASICS #629	112.51 	CAD	112.51 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"BAGGIES, CORNSTARCH, CHOCOLATE CHIPS, OIL, OREOS"	
"PARKS, FORESTRY & RECREATION"	4678-2	2017-08-06	2017-08-07	METRO #475	29.84 	CAD	29.84 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"GROUND BEEF, TOMATO FOR SUMMER CAMP"	
"PARKS, FORESTRY & RECREATION"	4686-1	2017-08-10	2017-08-11	DOLLARAMA # 225	23.45 	CAD	23.45 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5310	Discount Stores	SUPPLIES FOR GARDENING	
"PARKS, FORESTRY & RECREATION"	4686-2	2017-08-10	2017-08-11	FOOD BASICS #629	53.52 	CAD	53.52 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	4697-1	2017-08-16	2017-08-17	HIGHLAND FARMS SCARBOR	76.06 	CAD	76.06 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	4705-1	2017-08-22	2017-08-23	ROB'S NO FRILLS STORE	74.06 	CAD	74.06 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	4712-1	2017-08-29	2017-08-30	DOLLARAMA #0989	27.95 	CAD	27.95 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01342	ELLESMERE CC-SOCIAL PRGM	5310	Discount Stores	SUPPLIES FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	4712-2	2017-08-29	2017-08-30	FOOD BASICS #629	74.63 	CAD	74.63 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING PROGRAM	
					472.02 	CAD	472.02 	CAD								
"PARKS, FORESTRY & RECREATION"	4671-1	2017-07-31	2017-08-01	JUST FOR FUN  PARTY AN	197.75 	CAD	197.75 	CAD	4118	TICKETS AND ADMISSION FEES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	7996	"Amusement Parks, Carnivals, Circuses, Fo"	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4671-2	2017-08-01	2017-08-01	ROGERS *RC TICKETS	200.00 	CAD	200.00 	CAD	4118	TICKETS AND ADMISSION FEES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	7399	Business Services - Not Elsewhere Classi	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4678-3	2017-08-03	2017-08-07	WAL-MART #3159	14.91 	CAD	14.91 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07897	OAKRIDGE CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4707-1	2017-08-24	2017-08-25	CINEPLEX 7253     QPS	320.00 	CAD	320.00 	CAD	4118	TICKETS AND ADMISSION FEES	P07897	OAKRIDGE CRC-SOCIAL PRGM	7832	Motion Picture Theaters	MOVIE TICKETS	
					732.66 	CAD	732.66 	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4673-2	2017-08-01	2017-08-02	PHARMA PLUS #0257	20.11 	CAD	20.11 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5912	"Drug Stores, Pharmacies"	BAND AIDS	
ECONOMIC DEVELOPMENT & CULTURE	4708-1	2017-08-25	2017-08-28	BMV BOOK STORE	20.99 	CAD	20.99 	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5942	Book Stores	BOOK	
					41.10 	CAD	41.10 	CAD								
"PARKS, FORESTRY & RECREATION"	4675-1	2017-08-02	2017-08-03	PLAYTIME BOWL	392.40 	CAD	392.40 	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7933	Bowling Alleys	CAMP TRIP ADMISSION	
"PARKS, FORESTRY & RECREATION"	4686-3	2017-08-10	2017-08-11	STAPLES STORE #86	66.53 	CAD	66.53 	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4691-4	2017-08-10	2017-08-14	CDN TIRE STORE #00182	25.98 	CAD	25.98 	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5200	Home Supply Warehouse	EXTENSION CORD	
"PARKS, FORESTRY & RECREATION"	4691-5	2017-08-11	2017-08-14	SQ *CREATURE QUEST INC	435.05 	CAD	435.05 	CAD	4102	ENTERTAINER AND BAND FEES	P04880	BOB ABATE CC-SUMMER CAMPS	8299	Educational Services	CAMP SPECIAL GUEST	
"PARKS, FORESTRY & RECREATION"	4701-1	2017-08-18	2017-08-21	PAYPAL *DYNAMIX	811.97 	CAD	811.97 	CAD	4102	ENTERTAINER AND BAND FEES	P04880	BOB ABATE CC-SUMMER CAMPS	8351	Child Care Services	CAMP SPECIAL GUEST	
"PARKS, FORESTRY & RECREATION"	4701-2	2017-08-18	2017-08-21	PAYPAL *DYNAMIX	508.22 	CAD	508.22 	CAD	4102	ENTERTAINER AND BAND FEES	P04880	BOB ABATE CC-SUMMER CAMPS	8351	Child Care Services	CAMP SPECIAL GUEST	
					"2,240.15 "	CAD	"2,240.15 "	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4675-2	2017-08-02	2017-08-03	SOBEYS 938        QPS	14.02 	CAD	14.02 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"LARD, MUSTARD, PEACHES"	
ECONOMIC DEVELOPMENT & CULTURE	4678-4	2017-08-04	2017-08-07	METRO #720	67.70 	CAD	67.70 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WALNUTS, NAPKINS, BROWN, SUGAR, CHOCOLATE, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4682-1	2017-08-08	2017-08-09	STAPLES STORE #159	193.98 	CAD	193.98 	CAD	2010	STATIONERY AND OFFICE SUPPLIES	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	5943	"Office, School Supply, and Stationery St"	"LEGAL SIZE LAMINATING SHEETS, MAILING LABELS"	
ECONOMIC DEVELOPMENT & CULTURE	4682-2	2017-08-08	2017-08-09	METRO #720	79.65 	CAD	79.65 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BEEF, POTATOES"	
ECONOMIC DEVELOPMENT & CULTURE	4685-2	2017-08-09	2017-08-10	SOBEYS 938        QPS	18.75 	CAD	18.75 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CHILI SAUCE, BEANS, CANNED TOMATOES, ONIONS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4685-3	2017-08-08	2017-08-10	TORONTO CASH   CARRY	44.95 	CAD	44.95 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"DARJEELING TEA, SAFFRON"	
ECONOMIC DEVELOPMENT & CULTURE	4693-1	2017-08-14	2017-08-15	FRESHCO #9781	9.98 	CAD	9.98 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WALNUTS	
ECONOMIC DEVELOPMENT & CULTURE	4697-2	2017-08-16	2017-08-17	METRO #720	105.61 	CAD	105.61 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"GINGER, PASTA, HAM, STRAWBERRIES, ONIONS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4701-3	2017-08-18	2017-08-21	LOBLAWS 4.2	64.19 	CAD	64.19 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RASPBERRY JAM, MILK, CREAM CHEESE, WHIPPING CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4712-3	2017-08-29	2017-08-30	METRO #720	122.51 	CAD	122.51 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"DISINFECTING WIPES, BLEACH, POTATOES, ONIONS, ETC."	
					721.34 	CAD	721.34 	CAD								
TRANSPORTATION SERVICES 	4693-2	2017-08-14	2017-08-15	CREATIVE BAG TORONTO	128.82 	CAD	128.82 	CAD	4414	ADVERTISING & PROMOTION	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5699	Accessory  and Apparel Stores - Miscella	REUSABLE BAGS FOR CUSTOMER SIGN ORDERS	
TRANSPORTATION SERVICES 	4701-4	2017-08-20	2017-08-21	PAYPAL *TWEETYMAIL	6.50 	CAD	6.50 	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4701-5	2017-08-20	2017-08-21	PAYPAL *TWEETYMAIL	6.50 	CAD	6.50 	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4701-6	2017-08-20	2017-08-21	PAYPAL *TWEETYMAIL	6.50 	CAD	6.50 	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4701-7	2017-08-20	2017-08-21	PAYPAL *TWEETYMAIL	6.50 	CAD	6.50 	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					154.82 	CAD	154.82 	CAD								
PUBLIC HEALTH	4698-1	2017-08-17	2017-08-18	MICHAELS #4910	53.20 	CAD	53.20 	CAD	2010	STATIONERY AND OFFICE SUPPLIES	PH3515	SUBSTANCE MISUSE PREVENTION	5945	"Game, Toy, and Hobby Shops"	STATIONERY AND OFFICE SUPPLIES	
PUBLIC HEALTH	4698-2	2017-08-17	2017-08-18	MICHAELS #4910	5.75 	CAD	5.75 	CAD	2010	STATIONERY AND OFFICE SUPPLIES	PH3515	SUBSTANCE MISUSE PREVENTION	5945	"Game, Toy, and Hobby Shops"	STATIONERY AND OFFICE SUPPLIES	
					58.95 	CAD	58.95 	CAD								
"PARKS, FORESTRY & RECREATION"	4682-3	2017-08-08	2017-08-09	DOLLARAMA #0939	10.17 	CAD	10.17 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	CANDY FOR BUS TRIP	
"PARKS, FORESTRY & RECREATION"	4697-3	2017-08-16	2017-08-17	NO FRILL'S #1306	25.40 	CAD	25.40 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUPPER AND GAMES	
"PARKS, FORESTRY & RECREATION"	4698-3	2017-08-16	2017-08-18	WAL-MART # 3031	135.31 	CAD	135.31 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	FOOD FOR SUPPER AND GAMES	
"PARKS, FORESTRY & RECREATION"	4701-8	2017-08-18	2017-08-21	IKEA VAUGHAN	64.38 	CAD	64.38 	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	CLOTHES RACK	
"PARKS, FORESTRY & RECREATION"	4712-4	2017-08-29	2017-08-30	DOLLARAMA #0939	11.30 	CAD	11.30 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	VELCRO FOR COMMUNITY BOARD	
					246.56 	CAD	246.56 	CAD								
TORONTO WATER	4698-4	2017-08-17	2017-08-18	PRINCESS AUTO	47.99 	CAD	47.99 	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5085	Industrial Supplies Not Elsewhere Classi	"WORKLIGHT, ADAPTER, PLIERS"	
					47.99 	CAD	47.99 	CAD								
EMPLOYMENT & SOCIAL SERVICES	4697-4	2017-08-16	2017-08-17	INDIGO ONLINE	91.11 	CAD	91.11 	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	C01233	APPLICATION CENTRE	5399	Miscellaneous General Merchandise	4 TRAINING BOOKS FOR OFFICE (STAFF REFERENCE)	
EMPLOYMENT & SOCIAL SERVICES	4703-1	2017-08-21	2017-08-22	STAPLES STORE #32	112.45 	CAD	112.45 	CAD	2010	STATIONERY AND OFFICE SUPPLIES	C01233	APPLICATION CENTRE	5943	"Office, School Supply, and Stationery St"	"VARIOUS SUPPLIES-WRITING PADS,TAPE,PRINTABLE CARDS"	
					203.56 	CAD	203.56 	CAD								
TORONTO WATER	4685-4	2017-08-08	2017-08-10	MOE-HWIN WEB	302.60 	CAD	302.60 	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	9399	Government Services - Not Elsewhere Clas	WASTE DISPOSAL	
TORONTO WATER	4691-6	2017-08-10	2017-08-14	STAPLES.CA	29.80 	CAD	29.80 	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	RUBBER BANDS	
TORONTO WATER	4701-9	2017-08-17	2017-08-21	STAPLES.CA	56.48 	CAD	56.48 	CAD	4804	WIRELESS DEVICES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	TEMPERED GLASSS FOR IPHONE 7	
TORONTO WATER	4701-10	2017-08-18	2017-08-21	STAPLES.CA	73.44 	CAD	73.44 	CAD	4804	WIRELESS DEVICES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	OTTERBOX CASE FOR IPHONE	
TORONTO WATER	4701-11	2017-08-18	2017-08-21	STAPLES.CA	6.32 	CAD	6.32 	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	RUBBER BANDS	
TORONTO WATER	4705-2	2017-08-21	2017-08-23	STAPLES.CA	84.72 	CAD	84.72 	CAD	4804	WIRELESS DEVICES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	SCREEN PROTECTOR	
TORONTO WATER	4706-3	2017-08-22	2017-08-24	STAPLES.CA	109.54 	CAD	109.54 	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	LASER JET TONER CARTRIDGE	
					662.90 	CAD	662.90 	CAD								
"PARKS, FORESTRY & RECREATION"	4675-3	2017-08-02	2017-08-03	BELL TV	81.13 	CAD	81.13 	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	TV AND INTERNET SERVICES	
"PARKS, FORESTRY & RECREATION"	4678-5	2017-08-03	2017-08-07	WAL-MART # 3111	11.47 	CAD	11.47 	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	PICS DEVELOPMENT	
"PARKS, FORESTRY & RECREATION"	4686-4	2017-08-10	2017-08-11	MEGA FUN 4 KIDS	66.00 	CAD	66.00 	CAD	4118	TICKETS AND ADMISSION FEES	P07689	HERON PARK-PRGM SUPPORT	7999	Recreation Services (Not Elsewhere Class	ADMISSION - CAMP TRIP	
					158.60 	CAD	158.60 	CAD								
"PARKS, FORESTRY & RECREATION"	4671-3	2017-07-28	2017-08-01	CDN TIRE STORE #00209	67.79 	CAD	67.79 	CAD	2710	GENERAL HARDWARE	P07677	AGINCOURT-OPERATIONS	5200	Home Supply Warehouse	TOOL BOX	
"PARKS, FORESTRY & RECREATION"	4682-4	2017-08-08	2017-08-09	POOL MATES	162.60 	CAD	162.60 	CAD	2710	GENERAL HARDWARE	P10186	C-REC SUPER2-PRGM SUPPORT	5996	Swimming Pools - Sales and Supplies	"ALGAECIDE,NUTS,BOLTS, WASHER, POOL BRUSHES"	
"PARKS, FORESTRY & RECREATION"	4712-5	2017-08-29	2017-08-30	BISAN INC	423.75 	CAD	423.75 	CAD	2710	GENERAL HARDWARE	P07677	AGINCOURT-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	REPLACEMENT SCALE PLATES	
					654.14 	CAD	654.14 	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4685-5	2017-08-09	2017-08-10	TINSOLDIERC	169.50 	CAD	169.50 	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0118	HS-MH-RETAIL-MACKENZIE	5931	"Second Hand Stores, Used Merchandise Sto"	KITS FOR RESALE	
					169.50 	CAD	169.50 	CAD								
TORONTO PARAMEDIC SERVICES	4701-12	2017-08-18	2017-08-21	COSTCO WHOLESALE W535	33.89 	CAD	33.89 	CAD	2610	KITCHEN SUPPLIES	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5300	Wholesale Clubs	KETTLE	
TORONTO PARAMEDIC SERVICES	4701-13	2017-08-18	2017-08-21	THE HOME DEPOT #7129	22.58 	CAD	22.58 	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5200	Home Supply Warehouse	TOOL BOX	
TORONTO PARAMEDIC SERVICES	4705-3	2017-08-21	2017-08-23	SAYAL ELECTRONICS	22.37 	CAD	22.37 	CAD	2710	GENERAL HARDWARE	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5732	Electronic Sales	SCREWDRIVER	
					78.84 	CAD	78.84 	CAD								
"PARKS, FORESTRY & RECREATION"	4697-5	2017-08-16	2017-08-17	DOLLAR TREE CANADA STO	55.09 	CAD	55.09 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12930	LOCATION SUPPORT - D.D.SUMMERVILLE POOL	5331	Variety Stores	SUPPLIES FOR END OF SUMMER CAMP FUN DAY	
