Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5152-46	2018-12-28	2018-12-28	MAC S CEN #1462	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5145-110	2018-12-15	2018-12-17	SHELL	25.00	CAD	25.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					25.00	CAD	25.00	CAD							
TORONTO PARAMEDIC SERVICES	5145-1	2018-12-14	2018-12-17	SHELL	-90.00	CAD	-90.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	"FUEL REFUNDED, ISSUE WITH PUMP"
TORONTO PARAMEDIC SERVICES	5145-2	2018-12-14	2018-12-17	SHELL	90.00	CAD	90.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
TORONTO PARAMEDIC SERVICES	5145-3	2018-12-14	2018-12-17	SHELL	-2.23	CAD	-2.23	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 2.213 LITRES REFUNDED
TORONTO PARAMEDIC SERVICES	5145-4	2018-12-14	2018-12-17	SHELL	90.00	CAD	90.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 
					87.77	CAD	87.77	CAD							
SOLID WASTE MANAGEMENT	5136-22	2018-12-03	2018-12-04	PETROCAN	94.72	CAD	94.72	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5146-10	2018-12-17	2018-12-18	PETROCAN	100.63	CAD	100.63	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					195.35	CAD	195.35	CAD							
SOLID WASTE MANAGEMENT	5136-23	2018-12-04	2018-12-04	FLYING M TRUCK STOP	75.00	CAD	75.00	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5143-25	2018-12-13	2018-12-13	FLYING M TRUCK STOP	83.34	CAD	83.34	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5151-9	2018-12-27	2018-12-27	FLYING M TRUCK STOP	76.31	CAD	76.31	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					234.65	CAD	234.65	CAD							
SOLID WASTE MANAGEMENT	5138-28	2018-12-06	2018-12-06	ESSO	50.00	CAD	50.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5541	Service Stations (with or without Ancill	DIESEL TRUCK TAKEN FROM COST CENTER SW0901
					50.00	CAD	50.00	CAD							
SOLID WASTE MANAGEMENT	5138-29	2018-12-06	2018-12-06	PETROCAN	88.67	CAD	88.67	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					88.67	CAD	88.67	CAD							
SOLID WASTE MANAGEMENT	5138-81	2018-12-05	2018-12-06	CDN TIRE STORE #00119	373.87	CAD	373.87	CAD	3050	M & E - KITCHEN	SW0825	DUFFERIN TS OPERATIONS	5200	Home Supply Warehouse	MICROWAVE AND HEATERS
					373.87	CAD	373.87	CAD							
"PARKS, FORESTRY & RECREATION"	5143-74	2018-12-14	2018-12-14	DOLLARAMA # 309	30.28	CAD	30.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPECIAL EVENTS - OAKDALE CC	5310	Discount Stores	CHRISTMAS DECORATIONS
					30.28	CAD	30.28	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5133-31	2018-12-02	2018-12-02	TWITTER ONLINE ADS	93.69	CAD	93.69	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ONLINE ADS - FY FROST FAIR
ECONOMIC DEVELOPMENT & CULTURE	5138-111	2018-12-06	2018-12-06	"GOOGLE *WAZE,INC"	215.55	CAD	156.43	USD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	GEOFENCING ADS HOLIDAY GIBSON HOUSE
ECONOMIC DEVELOPMENT & CULTURE	5142-47	2018-12-11	2018-12-12	PAYPAL *ABALEADESIG	"1,356.00"	CAD	"1,356.00"	CAD	4085	PROF & TECH-MGMT	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	DESIGN
ECONOMIC DEVELOPMENT & CULTURE	5142-48	2018-12-11	2018-12-12	PAYPAL *ABALEADESIG	"1,118.70"	CAD	"1,118.70"	CAD	4085	PROF & TECH-MGMT	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	DESIGN
ECONOMIC DEVELOPMENT & CULTURE	5145-37	2018-12-17	2018-12-17	ISTOCK.COM	206.55	CAD	206.55	CAD	4082	PHOTO/VIDEO SERVICES	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	PHOTOGRAPHY FOR ADS
ECONOMIC DEVELOPMENT & CULTURE	5146-32	2018-12-18	2018-12-18	HOO*HOOTSUITE INC	15.59	CAD	11.29	USD	4995	OTHER EXPENSES	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ANALYTICS
ECONOMIC DEVELOPMENT & CULTURE	5152-7	2018-12-29	2018-12-29	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4995	OTHER EXPENSES	ED0150	PS MKG EDC MKTG TACTICS	7392	"Consulting, Management, and Public Relat"	E-NEWSLETTER DISTRIBUTION
					"3,277.28"	CAD	"3,046.14"	CAD							
							167.72	USD							
FLEET SERVICES	5137-56	2018-12-05	2018-12-05	INT NAME PLATE SUPPLIE	962.09	CAD	962.09	CAD	2090	GRAPHIC DESIGN SUPPLIES	FL4001	FLEET SAFETY & TRAINING	5943	"Office, School Supply, and Stationery St"	12-TAPE FOR STICKERS
FLEET SERVICES	5137-57	2018-12-05	2018-12-05	INT NAME PLATE SUPPLIE	962.09	CAD	962.09	CAD	2090	GRAPHIC DESIGN SUPPLIES	FL4001	FLEET SAFETY & TRAINING	5943	"Office, School Supply, and Stationery St"	12-TAPE FOR STICKERS
FLEET SERVICES	5146-33	2018-12-18	2018-12-18	INT NAME PLATE SUPPLIE	962.09	CAD	962.09	CAD	2090	GRAPHIC DESIGN SUPPLIES	FL4001	FLEET SAFETY & TRAINING	5943	"Office, School Supply, and Stationery St"	12-TAPE FOR STICKERS
					"2,886.27"	CAD	"2,886.27"	CAD							
TORONTO WATER	5139-30	2018-12-07	2018-12-07	LOG BOOKS UNLIMITED	186.70	CAD	186.70	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7338	"Quick Copy, Reproduction, and Blueprinti"	PARTS
TORONTO WATER	5147-30	2018-12-17	2018-12-19	FOCAL POINT FRAMING AN	84.75	CAD	84.75	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5971	Art Dealers and Galleries	PLAQUE-RE:TW CAPITAL PROJECT POSTER
					271.45	CAD	271.45	CAD							
SOLID WASTE MANAGEMENT	5145-38	2018-12-17	2018-12-17	DRIVETEC MANUFACTURING	902.87	CAD	902.87	CAD	2130	PARTS - MOBILE EQUIPMENT	SW0709	TRANSFER STATION RECYCLE HAULAGE	5046	Commercial Equipment Not Elsewhere Class	ALUMINUM TOOL BOX
					902.87	CAD	902.87	CAD							
"PARKS, FORESTRY & RECREATION"	5148-76	2018-12-20	2018-12-20	THE HOME DEPOT #7107	5.56	CAD	5.56	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	S-HOOKS
"PARKS, FORESTRY & RECREATION"	5148-77	2018-12-19	2018-12-20	THE HOME DEPOT #7107	-30.44	CAD	-30.44	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	NATURES CARE
"PARKS, FORESTRY & RECREATION"	5148-78	2018-12-19	2018-12-20	THE HOME DEPOT #7107	13.47	CAD	13.47	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	GARDEN SOIL
