Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5120-88	2018-11-12	2018-11-13	SHELL	86.00	CAD	86.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					86.00	CAD	86.00	CAD							
SOLID WASTE MANAGEMENT	5112-22	2018-10-31	2018-11-01	PETROCAN	110.13	CAD	110.13	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5119-22	2018-11-10	2018-11-12	PETROCAN	94.21	CAD	94.21	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5127-28	2018-11-22	2018-11-22	PETROCAN	104.26	CAD	104.26	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					308.60	CAD	308.60	CAD							
SOLID WASTE MANAGEMENT	5117-18	2018-11-07	2018-11-07	FLYING M TRUCK STOP	86.99	CAD	86.99	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5127-29	2018-11-23	2018-11-23	FLYING M TRUCK STOP	82.56	CAD	82.56	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					169.55	CAD	169.55	CAD							
SOLID WASTE MANAGEMENT	5114-16	2018-11-02	2018-11-02	PETROCAN	59.50	CAD	59.50	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
SOLID WASTE MANAGEMENT	5126-11	2018-11-20	2018-11-21	SHELL	106.00	CAD	106.00	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5132-22	2018-11-28	2018-11-29	SHELL	105.80	CAD	105.80	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					271.30	CAD	271.30	CAD							
SOLID WASTE MANAGEMENT	5124-21	2018-11-17	2018-11-19	ESSO	422.74	CAD	422.74	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5129-11	2018-11-24	2018-11-26	ESSO	465.06	CAD	465.06	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESL
					887.80	CAD	887.80	CAD							
SOLID WASTE MANAGEMENT	5127-45	2018-11-22	2018-11-22	PETROCAN	40.00	CAD	40.00	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					40.00	CAD	40.00	CAD							
SOLID WASTE MANAGEMENT	5119-48	2018-11-09	2018-11-12	PETROCAN	75.00	CAD	75.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE-CITY USE
					75.00	CAD	75.00	CAD							
"PARKS, FORESTRY & RECREATION"	5122-64	2018-11-15	2018-11-15	WATER AND ICE NORTH AM	314.14	CAD	314.14	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5122-65	2018-11-16	2018-11-16	TECH STAND & SAFETY AU	70.00	CAD	70.00	CAD	4760	MEMBERSHIP FEES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	7392	"Consulting, Management, and Public Relat"	MEMBERSHIP FEE
"PARKS, FORESTRY & RECREATION"	5123-27	2018-11-16	2018-11-16	WOLSELEY CANADA INC	142.38	CAD	142.38	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5074	Plumbing and Heating Equipment	IRRIGATION SUPPLIES
					526.52	CAD	526.52	CAD							
"PARKS, FORESTRY & RECREATION"	5114-28	2018-11-03	2018-11-03	STAPLES STORE #86	6.58	CAD	6.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5943	"Office, School Supply, and Stationery St"	PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	5114-29	2018-11-03	2018-11-03	THE HOME DEPOT #7013	10.48	CAD	10.48	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5200	Home Supply Warehouse	PREM C.CEMNT
"PARKS, FORESTRY & RECREATION"	5120-30	2018-11-13	2018-11-13	METRO #719	360.40	CAD	360.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	5126-30	2018-11-21	2018-11-21	MICHAELS #3983	4.49	CAD	4.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5945	"Game, Toy, and Hobby Shops"	FOOD ICING COLOR
