Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5081-189	2018-09-18	2018-09-19	ESSO	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5078-118	2018-09-15	2018-09-15	MACEWEN - WELLINGTON	98.00	CAD	98.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
TORONTO PARAMEDIC SERVICES	5081-188	2018-09-18	2018-09-19	PETROCAN	55.00	CAD	55.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					153.00	CAD	153.00	CAD							
TORONTO PARAMEDIC SERVICES	5077-194	2018-09-14	2018-09-14	ULTRAMAR #32829	75.00	CAD	75.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
TORONTO PARAMEDIC SERVICES	5084-82	2018-09-21	2018-09-24	ONROUTE #01164	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					175.00	CAD	175.00	CAD							
SOLID WASTE MANAGEMENT	5073-3	2018-09-07	2018-09-07	PETROCAN	118.45	CAD	118.45	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5083-8	2018-09-21	2018-09-21	PETROCAN	106.66	CAD	106.66	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					225.11	CAD	225.11	CAD							
SOLID WASTE MANAGEMENT	5068-5	2018-08-31	2018-09-03	PETROCAN	100.00	CAD	100.00	CAD	2280	DIESEL - CLEAR	SW0550	KEELE VALLEY LANDFILL	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5075-16	2018-09-10	2018-09-11	PETROCAN	101.84	CAD	101.84	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5080-9	2018-09-17	2018-09-18	PETROCAN	97.08	CAD	97.08	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5083-9	2018-09-21	2018-09-21	PETROCAN	98.07	CAD	98.07	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					396.99	CAD	396.99	CAD							
SOLID WASTE MANAGEMENT	5073-6	2018-09-08	2018-09-08	PETROCAN	363.75	CAD	363.75	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5077-29	2018-09-12	2018-09-13	PETROCAN	400.00	CAD	400.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5087-64	2018-09-27	2018-09-27	PETROCAN	25.98	CAD	25.98	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5087-65	2018-09-27	2018-09-27	PETROCAN	350.00	CAD	350.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5087-66	2018-09-26	2018-09-27	PETROCAN	350.00	CAD	350.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
					"1,489.73"	CAD	"1,489.73"	CAD							
SOLID WASTE MANAGEMENT	5082-37	2018-09-19	2018-09-20	SHELL	400.00	CAD	400.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5082-38	2018-09-19	2018-09-20	SHELL	-29.99	CAD	-29.99	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
					370.01	CAD	370.01	CAD							
SOLID WASTE MANAGEMENT	5073-7	2018-09-08	2018-09-08	PETROCAN	380.46	CAD	380.46	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5077-30	2018-09-12	2018-09-13	ESSO	443.78	CAD	443.78	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5085-31	2018-09-24	2018-09-25	ONROUTE #01178	443.20	CAD	443.20	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
					"1,267.44"	CAD	"1,267.44"	CAD							
TORONTO PARAMEDIC SERVICES	5080-28	2018-09-17	2018-09-18	PETROCAN	95.00	CAD	95.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					95.00	CAD	95.00	CAD							
SOLID WASTE MANAGEMENT	5085-44	2018-09-24	2018-09-25	PETROCAN	74.24	CAD	74.24	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					74.24	CAD	74.24	CAD							
SOLID WASTE MANAGEMENT	5082-68	2018-09-20	2018-09-20	PETROCAN	48.50	CAD	48.50	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					48.50	CAD	48.50	CAD							
"PARKS, FORESTRY & RECREATION"	5077-50	2018-09-13	2018-09-13	YOUR DOLLAR STORE WITH	76.28	CAD	76.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	KITCHEN SUPPLIES
"PARKS, FORESTRY & RECREATION"	5077-51	2018-09-13	2018-09-13	YOUR DOLLAR STORE WITH	241.82	CAD	241.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	CRAFT SEASONAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	5077-52	2018-09-13	2018-09-13	DOLLARAMA # 211	77.24	CAD	77.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5310	Discount Stores	KITCHEN SUPPLIES
"PARKS, FORESTRY & RECREATION"	5079-17	2018-09-17	2018-09-17	COSTCO WHOLESALE W545	178.49	CAD	178.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13335	WARDEN CC - PRGM SUPPORT	5300	Wholesale Clubs	GROCERIES FOR PANCAKE BREAKFAST
"PARKS, FORESTRY & RECREATION"	5080-29	2018-09-17	2018-09-18	WAL-MART #3159	61.35	CAD	61.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13335	WARDEN CC - PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS
"PARKS, FORESTRY & RECREATION"	5080-30	2018-09-18	2018-09-18	DOLLARAMA # 562	40.74	CAD	40.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5310	Discount Stores	COFFEE AND TEA AND SUPPLIES
"PARKS, FORESTRY & RECREATION"	5080-31	2018-09-18	2018-09-18	DOLLARAMA #0986	88.25	CAD	88.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5310	Discount Stores	KITCHEN SUPPLIES
"PARKS, FORESTRY & RECREATION"	5080-32	2018-09-18	2018-09-18	COSTCO BUSINESS CENTER	99.06	CAD	99.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5300	Wholesale Clubs	KITCHEN SUPPLIES
"PARKS, FORESTRY & RECREATION"	5080-33	2018-09-18	2018-09-18	COSTCO BUSINESS CENTER	162.30	CAD	162.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5300	Wholesale Clubs	KITCHEN SUPPLIES
"PARKS, FORESTRY & RECREATION"	5081-30	2018-09-18	2018-09-19	YOUR DOLLAR STORE WITH	36.60	CAD	36.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	KITCHEN ACCESSORIES
"PARKS, FORESTRY & RECREATION"	5081-31	2018-09-18	2018-09-19	YOUR DOLLAR STORE WITH	49.16	CAD	49.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	KITCHEN ACCESSORIES
"PARKS, FORESTRY & RECREATION"	5081-32	2018-09-18	2018-09-19	WALMART SUPERCENTER #1	261.39	CAD	261.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"ELECTRICAL CORDS, GRIDDLES"
"PARKS, FORESTRY & RECREATION"	5081-33	2018-09-18	2018-09-19	WAL-MART # 3111	124.51	CAD	124.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLIES
"PARKS, FORESTRY & RECREATION"	5081-34	2018-09-19	2018-09-19	PARTY CITY #2027	50.84	CAD	50.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	BALLON TANK
"PARKS, FORESTRY & RECREATION"	5081-35	2018-09-19	2018-09-19	COSTCO WHOLESALE W537	93.87	CAD	93.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13335	WARDEN CC - PRGM SUPPORT	5300	Wholesale Clubs	DESSERTS
"PARKS, FORESTRY & RECREATION"	5084-24	2018-09-24	2018-09-24	COSTCO BUSINESS CENTER	145.76	CAD	145.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13335	WARDEN CC - PRGM SUPPORT	5300	Wholesale Clubs	REFRESHMENTS FOR LUNCH
"PARKS, FORESTRY & RECREATION"	5086-52	2018-09-25	2018-09-26	YOUR DOLLAR STORE WITH	43.79	CAD	43.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5310	Discount Stores	KITCHEN ACCRESSORIES
"PARKS, FORESTRY & RECREATION"	5086-53	2018-09-25	2018-09-26	THE HOME DEPOT #7027	52.93	CAD	52.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  RAZOR
"PARKS, FORESTRY & RECREATION"	5086-54	2018-09-26	2018-09-26	COSTCO WHOLESALE W1128	242.94	CAD	242.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13335	WARDEN CC - PRGM SUPPORT	5300	Wholesale Clubs	DESSERTS
