Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	2327-1	01-08-2013	01-14-2013	INMAGINE LIMITED	49.00	CAD	49.00	CAD	4082	PHOTO/VIDEO SERVICES	PH3071	MATERNAL INFANT HEAL	7333	"Commercial Art, Graphics, Photography"	"PHOTO/VIDEO SERVICES, INV.#2489233657"	
PUBLIC HEALTH	2335-1	01-17-2013	01-18-2013	HOLIDAY INN TORONTO AI	246.34	CAD	246.34	CAD	4840	MOTEL/HOTEL RENT CHG	PH3071	MATERNAL INFANT HEAL	7011	"Lodging - Hotels, Motels, Resorts - Not"	"BCC-BFI ASSESSORS,PART OF#249546 JAN.15-17/'13"	
PUBLIC HEALTH	2335-2	01-17-2013	01-18-2013	HOLIDAY INN TORONTO AI	246.34	CAD	246.34	CAD	4840	MOTEL/HOTEL RENT CHG	PH3071	MATERNAL INFANT HEAL	7011	"Lodging - Hotels, Motels, Resorts - Not"	"BCC-BFI ASSESSORS,PART OF#249547 JAN.15-17/'13"	
PUBLIC HEALTH	2337-1	01-18-2013	01-21-2013	HOLIDAY INN TORONTO AI	123.17	CAD	123.17	CAD	4840	MOTEL/HOTEL RENT CHG	PH3071	MATERNAL INFANT HEAL	3501	Holiday Inns	"BCC-BFI ASSESSORS,PART OF#249546 JAN.17-18/'13"	
PUBLIC HEALTH	2337-2	01-18-2013	01-21-2013	HOLIDAY INN TORONTO AI	123.17	CAD	123.17	CAD	4840	MOTEL/HOTEL RENT CHG	PH3071	MATERNAL INFANT HEAL	3501	Holiday Inns	"BCC-BFI ASSESSORS,PART OF#249547 JAN.17-18/'13"	
					788.02	CAD	788.02	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2318-1	01-03-2013	01-07-2013	LCBO/RAO #0217	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0101	HS-MH-PUB-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	SPECIAL OCCASION LICENSE FOR FORT YORK EVENT	
					75.00	CAD	75.00	CAD								
"PARKS, FORESTRY & RECREATION"	2324-1	01-09-2013	01-11-2013	PARTY CITY -TORONTO #2	11.83	CAD	11.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5999	Miscellaneous and Specialty Retail Store	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	2324-2	01-09-2013	01-11-2013	METRO #800	87.11	CAD	87.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
