Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5896-1	2021-09-18	2021-09-21	CDN TIRE GASBAR #01741	96.71	CAD	96.71	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	76.389L @ $1.296/L
					96.71	CAD	96.71	CAD							
TORONTO PARAMEDIC SERVICES	5881-1	2021-08-30	2021-09-01	ESSO CIRCLE K	60.00	CAD	60.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5542	"Fuel Dispenser, Automated"	FUEL 43.956L@$1.365/L
					60.00	CAD	60.00	CAD							
SOLID WASTE MANAGEMENT	5892-1	2021-09-13	2021-09-15	SUNSET DRIVE ESSO	125.38	CAD	125.38	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					125.38	CAD	125.38	CAD							
SOLID WASTE MANAGEMENT	5882-1	2021-08-31	2021-09-02	PETROCAN	52.00	CAD	52.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
SOLID WASTE MANAGEMENT	5894-1	2021-09-15	2021-09-17	PETROCAN	55.33	CAD	55.33	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL - CLEAR
SOLID WASTE MANAGEMENT	5903-1	2021-09-28	2021-09-30	PETROCAN	55.81	CAD	55.81	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL - CLEAR
					163.14	CAD	163.14	CAD							
"PARKS, FORESTRY & RECREATION"	5883-1	2021-09-02	2021-09-03	WATER AND ICE NORTH AM	281.14	CAD	281.14	CAD	2710	GENERAL HARDWARE	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	CLEAR BLUE CHEMICAL
					281.14	CAD	281.14	CAD							
"PARKS, FORESTRY & RECREATION"	5881-2	2021-08-30	2021-09-01	FITNESS DEPOT TORONTO	"1,988.66"	CAD	"1,988.66"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5941	Sporting Goods Stores	VARIOUS SIZE BARBELLS 5/10/20/35/45 POUNDS
