Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5784-1	2021-04-20	2021-04-23	SHELL	100.00	CAD	100.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5542	"Fuel Dispenser, Automated"	FUEL 64.145L @$1.559/L
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5787-1	2021-04-25	2021-04-28	PETROCAN	94.54	CAD	94.54	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 74.498L @$1.269/L
					94.54	CAD	94.54	CAD							
TORONTO PARAMEDIC SERVICES	5781-1	2021-04-17	2021-04-20	SHELL	100.00	CAD	100.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	PREPAID - FUEL
TORONTO PARAMEDIC SERVICES	5782-1	2021-04-18	2021-04-21	PETROCAN	99.00	CAD	99.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 82.570L @$1.199/L
					199.00	CAD	199.00	CAD							
TORONTO PARAMEDIC SERVICES	5782-2	2021-04-20	2021-04-21	PIONEER #384	83.86	CAD	83.86	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5542	"Fuel Dispenser, Automated"	FUEL 81.501L @$1.029/L
					83.86	CAD	83.86	CAD							
SOLID WASTE MANAGEMENT	5779-1	2021-04-15	2021-04-16	FLYING M TRUCK STOP	98.01	CAD	98.01	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					98.01	CAD	98.01	CAD							
SOLID WASTE MANAGEMENT	5774-1	2021-04-07	2021-04-09	PETROCAN	11.00	CAD	11.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
SOLID WASTE MANAGEMENT	5775-1	2021-04-09	2021-04-12	PETROCAN	44.00	CAD	44.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5782-3	2021-04-20	2021-04-21	PIONEER # 345	67.00	CAD	67.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5783-1	2021-04-20	2021-04-22	PETROCAN	50.02	CAD	50.02	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
SOLID WASTE MANAGEMENT	5787-2	2021-04-26	2021-04-28	PETROCAN	70.00	CAD	70.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5788-1	2021-04-27	2021-04-29	PETROCAN	44.00	CAD	44.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
					286.02	CAD	286.02	CAD							
"PARKS, FORESTRY & RECREATION"	5773-1	2021-04-07	2021-04-08	WATER AND ICE NORTH AM	128.82	CAD	128.82	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5777-1	2021-04-13	2021-04-14	JJ DOWNS INDUSTRIAL	159.04	CAD	159.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	PIPE AND FITTINGS
"PARKS, FORESTRY & RECREATION"	5780-1	2021-04-16	2021-04-19	WATER AND ICE NORTH AM	646.36	CAD	646.36	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5784-2	2021-04-22	2021-04-23	JJ DOWNS INDUSTRIAL	220.35	CAD	220.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	VALVE AND FITTINGS
"PARKS, FORESTRY & RECREATION"	5789-1	2021-04-29	2021-04-30	JJ DOWNS INDUSTRIAL	97.20	CAD	97.20	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	"FLANGE, FITTINGS"
					"1,251.77"	CAD	"1,251.77"	CAD							
"PARKS, FORESTRY & RECREATION"	5778-1	2021-04-14	2021-04-15	PAUL WOLF ELECTRIC & L	122.89	CAD	122.89	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	LIGHT BULBS
					122.89	CAD	122.89	CAD							
"PARKS, FORESTRY & RECREATION"	5773-2	2021-04-06	2021-04-08	LEE VALLEY - SCARBOROU	112.32	CAD	112.32	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5072	Hardware Equipment and Supplies	"BLADES, SPRINGS"
"PARKS, FORESTRY & RECREATION"	5785-1	2021-04-23	2021-04-26	LEE VALLEY - SCARBOROU	377.87	CAD	377.87	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5072	Hardware Equipment and Supplies	"CULTIVATORS, HOLSTER"
"PARKS, FORESTRY & RECREATION"	5785-2	2021-04-25	2021-04-26	GREENHAWK	118.62	CAD	118.62	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5655	"Sports Apparel, Riding Apparel Stores"	BUCKETS
"PARKS, FORESTRY & RECREATION"	5787-3	2021-04-26	2021-04-28	THE HOME DEPOT #7238	217.90	CAD	217.90	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	"LOPPERS, WOODEN HANDLES"
					826.71	CAD	826.71	CAD							
FACILITIES MANAGEMENT	5767-1	2021-03-29	2021-04-01	UNITED REFRIGERATION	64.31	CAD	64.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61679266	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS REPLACED
FACILITIES MANAGEMENT	5768-1	2021-04-01	2021-04-02	THE MASTER GROUP CRANF	137.00	CAD	137.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61680692	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	BELTS
FACILITIES MANAGEMENT	5768-2	2021-04-01	2021-04-02	THE MASTER GROUP CRANF	220.28	CAD	220.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61680692	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	IGNITION CONTROLLER
FACILITIES MANAGEMENT	5771-1	2021-04-01	2021-04-06	APPLIED INDUSTRIAL TEC	131.89	CAD	131.89	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61680692	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	PULLEY
FACILITIES MANAGEMENT	5771-2	2021-04-01	2021-04-06	APPLIED INDUSTRIAL TEC	136.98	CAD	136.98	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61675092	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	PUMP COUPLER
FACILITIES MANAGEMENT	5775-2	2021-04-07	2021-04-12	UNITED REFRIGERATION	195.02	CAD	195.02	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61681141	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	CONTACTORS AND CAPACITORS
