Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5791-1	2021-04-30	2021-05-04	ONROUTE #01171	99.90	CAD	99.90	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 79.225L @$1.261/L
TORONTO PARAMEDIC SERVICES	5793-1	2021-05-03	2021-05-05	ONROUTE #01171	150.00	CAD	150.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 121.164L @$1.238/L
					249.90	CAD	249.90	CAD							
TORONTO PARAMEDIC SERVICES	5790-1	2021-04-29	2021-05-03	ESSO CIRCLE K	98.01	CAD	98.01	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 76.630L @$1.279/L
					98.01	CAD	98.01	CAD							
SOLID WASTE MANAGEMENT	5806-1	2021-05-21	2021-05-24	FLYING M TRUCK STOP	102.29	CAD	102.29	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					102.29	CAD	102.29	CAD							
SOLID WASTE MANAGEMENT	5796-1	2021-05-07	2021-05-10	PETROCAN	51.00	CAD	51.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5804-1	2021-05-18	2021-05-20	PETROCAN	69.99	CAD	69.99	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5805-1	2021-05-19	2021-05-21	PETROCAN	69.37	CAD	69.37	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL -CITY USE
SOLID WASTE MANAGEMENT	5811-1	2021-05-27	2021-05-31	PETROCAN	27.00	CAD	27.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
					217.36	CAD	217.36	CAD							
