Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	2212-1	10-17-2012	10-18-2012	IKEA HOME SHOPPING/ECO	94.41	CAD	94.41	CAD	3310	FURNISHINGS	PH3071	MATERNAL INFANT HEAL	5712	"Equipment, Furniture, and Home Furnishin"	FURNISHINGS - ORD#133124505	
PUBLIC HEALTH	2216-1	10-17-2012	10-22-2012	SEARS CANADA DIRECT	540.06	CAD	540.06	CAD	3310	FURNISHINGS	PH3071	MATERNAL INFANT HEAL	5999	Miscellaneous and Specialty Retail Store	FURNISHINGS - ORD#0768277777	
					634.47	CAD	634.47	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2201-1	10-10-2012	10-10-2012	ULINE	661.91	CAD	661.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDU-FORT YORK	5964	Direct Marketing - Catalog Merchants	*****	
ECONOMIC DEVELOPMENT & CULTURE	2207-1	10-11-2012	10-15-2012	WESTBURY NATIONAL SHOW	"1,073.50"	CAD	"1,073.50"	CAD	4590	RENTAL - OTHER	AH0091	HS-MH-PRS-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	SOUND EQUIPMENT FOR OCTOBER HISTORY MONTH EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2216-2	10-18-2012	10-22-2012	WESTBURY NATIONAL SHOW	"1,073.50"	CAD	"1,073.50"	CAD	4590	RENTAL - OTHER	AH0091	HS-MH-PRS-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	SOUND EQUIPMENT RENTAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2224-1	10-25-2012	10-29-2012	WESTBURY NATIONAL SHOW	"1,073.50"	CAD	"1,073.50"	CAD	4590	RENTAL - OTHER	AH0091	HS-MH-PRS-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	SOUND EQUIPMENT RENTAL EVENT	
					"3,882.41"	CAD	"3,882.41"	CAD								
"PARKS, FORESTRY & RECREATION"	2221-1	10-23-2012	10-25-2012	WAL-MART #3159	73.10	CAD	73.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING PRGM	
					73.10	CAD	73.10	CAD								
"PARKS, FORESTRY & RECREATION"	2190-1	10-01-2012	10-02-2012	NOFRILLS VITO'S #3936	104.92	CAD	104.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP GROCERIES	
"PARKS, FORESTRY & RECREATION"	2198-1	10-04-2012	10-05-2012	LONG   MCQUADE	238.20	CAD	238.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VIS	7399	Business Services - Not Elsewhere Classi	PIANO LESSON BOOKS	
"PARKS, FORESTRY & RECREATION"	2199-1	10-05-2012	10-09-2012	MICHAELS #3983	44.01	CAD	44.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VIS	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2205-1	10-11-2012	10-12-2012	LONG   MCQUADE	146.60	CAD	146.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VIS	7399	Business Services - Not Elsewhere Classi	PIANO LESSON BOOKS	
"PARKS, FORESTRY & RECREATION"	2205-2	10-11-2012	10-12-2012	THE CRAFT   HOBBY EMPO	38.83	CAD	38.83	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VIS	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2207-2	10-11-2012	10-15-2012	HARKEL OFFICE FURNITUR	813.96	CAD	813.96	CAD	3310	FURNISHINGS	P04304	BARBARA FRUM-H CAMP	5021	Office and Commercial Furniture	REPLACEMENT OF BROKEN CHAIRS	
"PARKS, FORESTRY & RECREATION"	2208-1	10-15-2012	10-16-2012	NOFRILLS VITO'S #3936	67.29	CAD	67.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	2217-1	10-22-2012	10-23-2012	NOFRILLS VITO'S #3936	63.42	CAD	63.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	2217-2	10-22-2012	10-23-2012	PRICE CHOPPER #7984QPS	3.98	CAD	3.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	2225-1	10-29-2012	10-30-2012	NOFRILLS VITO'S #3936	62.60	CAD	62.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY FOR COOKING PROGRAM	
					"1,583.81"	CAD	"1,583.81"	CAD								
