Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4291-1	2016-11-09	2016-11-10	SECOND CUP 9129	228.60	CAD	228.60	CAD	4820	BUSINESS MEETING EXPENSES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5814	Quick Payment Service - Fast-Food Restau	REFRESHMENTS FOR MEETING	
PUBLIC HEALTH	4304-1	2016-11-21	2016-11-22	SICKKIDS EDUCATIONAL E	120.00	CAD	120.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8062	Hospitals	SEMINAR/TRAINING	
					348.60	CAD	348.60	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4293-1	2016-11-10	2016-11-14	WESTBURY NATIONAL SHOW	"1,638.50"	CAD	"1,638.50"	CAD	4436	CONTR SRV-VOICE SYS	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	PA SYSTEM	
					"1,638.50"	CAD	"1,638.50"	CAD								
"PARKS, FORESTRY & RECREATION"	4291-2	2016-11-08	2016-11-10	WAL-MART #3159	50.99	CAD	50.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4302-1	2016-11-18	2016-11-21	ROB'S NO FRILLS STORE	23.35	CAD	23.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4312-1	2016-11-24	2016-11-28	WAL-MART # 3740	70.04	CAD	70.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4312-2	2016-11-25	2016-11-28	WAL-MART # 3740	30.04	CAD	30.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
					174.42	CAD	174.42	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4299-1	2016-11-16	2016-11-17	ROB'S NO FRILLS STORE	19.69	CAD	19.69	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM	
ECONOMIC DEVELOPMENT & CULTURE	4300-1	2016-11-17	2016-11-18	ROB'S NO FRILLS STORE	4.99	CAD	4.99	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	TEA BAGS	
ECONOMIC DEVELOPMENT & CULTURE	4302-2	2016-11-18	2016-11-21	ABOVEGROUND ENTERPRISE	-12.16	CAD	-12.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	7333	"Commercial Art, Graphics, Photography"	REFUND FOR PORTION OF JUNE PURCHASE	
ECONOMIC DEVELOPMENT & CULTURE	4309-1	2016-11-23	2016-11-25	SOBEYS 718        QPS	40.57	CAD	40.57	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"TEA, COFFEE, MILK, CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4312-3	2016-11-24	2016-11-28	CDN TIRE STORE #00150	59.05	CAD	59.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5200	Home Supply Warehouse	BATTERIES AND SAW	
					112.14	CAD	112.14	CAD								
"PARKS, FORESTRY & RECREATION"	4277-1	2016-11-02	2016-11-03	COSTCO.CA   *ONLINE	"1,129.99"	CAD	"1,129.99"	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P01959	BOB ABATE CC-SOCIAL PRGM	5399	Miscellaneous General Merchandise	"PIANO, PRESCHOOL TABLES"	
"PARKS, FORESTRY & RECREATION"	4278-1	2016-11-03	2016-11-04	COSTCO.CA   *ONLINE	429.38	CAD	429.38	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P01959	BOB ABATE CC-SOCIAL PRGM	5399	Miscellaneous General Merchandise	BALANCE FROM OCT PCARD - PRESCHOOL TABLES	
"PARKS, FORESTRY & RECREATION"	4295-1	2016-11-14	2016-11-15	THE SOURCE #71040	40.39	CAD	40.39	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5732	Electronic Sales	COMPUTER SPEAKERS	
