Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3889-1	2016-02-17	2016-02-18	SQ *COLIN TAYLOR	220.35	CAD	220.35	CAD	4082	PHOTO/VIDEO SERVICES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	8999	Professional Services - Not Elsewhere Cl	RECORDING	
					220.35	CAD	220.35	CAD								
"PARKS, FORESTRY & RECREATION"	3861-1	2016-01-30	2016-02-01	YOUR DOLLAR STORE WITH	34.47	CAD	34.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	"STATIONERY, CLEANING SUPPLIES"	
"PARKS, FORESTRY & RECREATION"	3865-1	2016-02-02	2016-02-03	NOFRILLS DICKIES 752	63.76	CAD	63.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"ONION, SAUCEM WHIP CREAM"	
"PARKS, FORESTRY & RECREATION"	3877-1	2016-02-09	2016-02-10	FRESHCO 9750      QPS	71.78	CAD	71.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - MARGARINE,GR BEEF, BUTTER"	
"PARKS, FORESTRY & RECREATION"	3887-1	2016-02-16	2016-02-17	METRO #37	75.45	CAD	75.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - YEAST,TOMATOES,CHICKEN,CARROTS"	
"PARKS, FORESTRY & RECREATION"	3898-1	2016-02-23	2016-02-24	METRO #37	69.54	CAD	69.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - TACO KIT, PINEAPPLE, CHCIKEN"	
"PARKS, FORESTRY & RECREATION"	3902-1	2016-02-25	2016-02-26	BUTTERFLY BEADS   JEWE	54.92	CAD	54.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5944	"Clock, Jewelry, Watch, and Silverware St"	"PROGRAM SUPPLIES - BEADS,BEADING WIRE,CLASPS,PLIER"	
"PARKS, FORESTRY & RECREATION"	3902-2	2016-02-25	2016-02-26	METRO #37	34.65	CAD	34.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - MILK,OIL,LIME,TOMATOES,DOUGH"	
					404.57	CAD	404.57	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3861-2	2016-01-30	2016-02-01	LOVE THE DESIGN LTD.	11.30	CAD	11.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5200	Home Supply Warehouse	CHRISTMAS TREE STAND	
ECONOMIC DEVELOPMENT & CULTURE	3871-1	2016-02-04	2016-02-05	ROB'S NO FRILLS STORE	11.48	CAD	11.48	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM	
ECONOMIC DEVELOPMENT & CULTURE	3900-1	2016-02-24	2016-02-25	ROB'S NO FRILLS STORE	11.48	CAD	11.48	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM	
					34.26	CAD	34.26	CAD								
"PARKS, FORESTRY & RECREATION"	3883-1	2016-02-12	2016-02-15	METRO #720	11.78	CAD	11.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"GROCERIES - TICTAC MINT, SUGAR"	
"PARKS, FORESTRY & RECREATION"	3883-2	2016-02-12	2016-02-15	WAL-MART #3106	120.53	CAD	120.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"LUNCH BAGS, FOAM SHEETS, JARS, BUTTER"	
"PARKS, FORESTRY & RECREATION"	3883-3	2016-02-12	2016-02-15	YOUR DOLLAR STORE WITH	37.35	CAD	37.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5310	Discount Stores	"CRAFTS, STATIONERIES, GENERAL WEARS, BAGS/WRAPS"	
"PARKS, FORESTRY & RECREATION"	3889-2	2016-02-17	2016-02-18	GLOBAL  PET FOODS	9.03	CAD	9.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5995	Pet Shops - Pet Food and Supplies	WATER SOFTENER FOR TURTLE TANK	
					178.69	CAD	178.69	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3861-3	2016-01-29	2016-02-01	METRO #720	56.16	CAD	56.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"APPLE JUICE, MILK, CREAM, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	3871-2	2016-02-03	2016-02-05	LONGO'S IMPERIAL PLAZA	27.30	CAD	27.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PISTACHIOS, CLEMENTINES"	
ECONOMIC DEVELOPMENT & CULTURE	3872-1	2016-02-05	2016-02-08	METRO #720	63.21	CAD	63.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ORANGE JUICE, MILK, WHIPPING CREAM, BREAD, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3881-1	2016-02-11	2016-02-12	FRESHCO #9781	47.68	CAD	47.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"LIMES, WHIPPING CREAM, EGGS, ORANGE BLOSSOM WATER"	
ECONOMIC DEVELOPMENT & CULTURE	3883-4	2016-02-12	2016-02-15	KITCHEN STUFF PLUS #12	147.91	CAD	147.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	"SAUCEPAN, PARING KNIVES, RASPS"	
ECONOMIC DEVELOPMENT & CULTURE	3883-5	2016-02-12	2016-02-15	FRESHCO #9781	230.00	CAD	230.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGGS, LIMES, WHIPPING CREAM, MILK, CLEANER, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3885-1	2016-02-12	2016-02-16	CDN TIRE STORE #00273	20.32	CAD	20.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	PRESERVING JARS	
ECONOMIC DEVELOPMENT & CULTURE	3885-2	2016-02-12	2016-02-16	CDN TIRE STORE #00654	91.45	CAD	91.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	"PRESERVING JARS, KETTLE"	
ECONOMIC DEVELOPMENT & CULTURE	3889-3	2016-02-17	2016-02-18	FRESHCO #9781	96.22	CAD	96.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"LIMES, MILK, EGGS, ROSE WATER, CARROTS, PISTACHIOS"	
ECONOMIC DEVELOPMENT & CULTURE	3891-1	2016-02-17	2016-02-19	THE PRINTING HOUSE #55	628.17	CAD	628.17	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	2741	Miscellaneous Publishing and Printing	PRNTING OF PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	3891-2	2016-02-18	2016-02-19	LOBLAWS 4.2	13.99	CAD	13.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	5411	"Grocery Stores, Supermarkets"	TEA	
ECONOMIC DEVELOPMENT & CULTURE	3891-3	2016-02-18	2016-02-19	METRO #37	39.92	CAD	39.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	ORGANIC LEMONS	
ECONOMIC DEVELOPMENT & CULTURE	3893-1	2016-02-18	2016-02-22	TORONTO CASH   CARRY	86.83	CAD	86.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"SAFFRON, TEA, GINGER"	
ECONOMIC DEVELOPMENT & CULTURE	3895-1	2016-02-22	2016-02-23	FRIES INC	567.38	CAD	567.38	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIR EXPENSES	
					"2,116.54"	CAD	"2,116.54"	CAD								
TRANSPORTATION SERVICES 	3893-2	2016-02-20	2016-02-22	PAYPAL *TWEETYMAIL	7.07	CAD	7.07	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3893-3	2016-02-20	2016-02-22	PAYPAL *TWEETYMAIL	7.07	CAD	7.07	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3893-4	2016-02-20	2016-02-22	PAYPAL *TWEETYMAIL	7.07	CAD	7.07	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3893-5	2016-02-20	2016-02-22	PAYPAL *TWEETYMAIL	7.07	CAD	7.07	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3904-1	2016-02-26	2016-02-29	TRB WEBINAR	122.92	CAD	89.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TP0206	ITS CAPITAL DELIVERY	8398	"Organizations, Charitable and Social Ser"	TRANSPORTATION RESEARCH BOARD WEBINAR	
					151.20	CAD	28.28	CAD								
							89.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	3872-2	2016-02-07	2016-02-08	SHOPPER'S DRUG MART #1	7.52	CAD	7.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5912	"Drug Stores, Pharmacies"	COOKIES	
ECONOMIC DEVELOPMENT & CULTURE	3883-6	2016-02-11	2016-02-15	THE PRINCESS OF WALES	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7399	Business Services - Not Elsewhere Classi	PARKING FOR MEETING	
ECONOMIC DEVELOPMENT & CULTURE	3898-2	2016-02-23	2016-02-24	NO FRILL'S #1306	117.68	CAD	117.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	"CHEESE, COOKIES, CHIPS, DIPS, FRUIT, NUTS, OLIVES"	
ECONOMIC DEVELOPMENT & CULTURE	3904-2	2016-02-26	2016-02-29	PARKING AUTHORITYOFTOR	5.50	CAD	5.50	CAD	4770	PARKING EXPENSES (INTOWN)	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	9399	Government Services - Not Elsewhere Clas	PARKING FOR MEETING	
					150.70	CAD	150.70	CAD								
PUBLIC HEALTH	3904-3	2016-02-26	2016-02-29	KARELO.COM/OHSC EVENT	175.00	CAD	175.00	CAD	4760	MEMBERSHIP FEES	PH3614	SCHOOL AGED CHILDREN	7372	"Computer Programming, Integrated Systems"	MEMBERSHIP FEES	
					175.00	CAD	175.00	CAD								
"PARKS, FORESTRY & RECREATION"	3861-4	2016-01-30	2016-02-01	WMT SUPRCTR #1095	22.49	CAD	22.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"GUMMY HEARTS, CANDIES"	
"PARKS, FORESTRY & RECREATION"	3879-1	2016-02-10	2016-02-11	RCSS WESTON 2800	180.45	CAD	180.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12053	HORNER-FITNESS-INSTRL OLDER ADULTS	5411	"Grocery Stores, Supermarkets"	FITNESS ROLLERS	
"PARKS, FORESTRY & RECREATION"	3879-2	2016-02-10	2016-02-11	DOLLAR TREE CANADA STO	120.06	CAD	120.06	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P08495	HORNER SENIORS-PRGM SUPPORT	5331	Variety Stores	SUPPLIES/PRIZES FOR VALENTINES LUNCH	
"PARKS, FORESTRY & RECREATION"	3881-2	2016-02-11	2016-02-12	PARTY CITY #2801	42.90	CAD	42.90	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P08495	HORNER SENIORS-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	SUPPLIES FOR VALENTINES LUNCH	
"PARKS, FORESTRY & RECREATION"	3881-3	2016-02-11	2016-02-12	COSTCO WHOLESALE W524	215.23	CAD	215.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5300	Wholesale Clubs	FOOD FOR VALENTINES LUNCH	
"PARKS, FORESTRY & RECREATION"	3883-7	2016-02-11	2016-02-15	WAL-MART # 3031	53.26	CAD	53.26	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	SUPPLIES FOR VALENTINES LUNCH	
"PARKS, FORESTRY & RECREATION"	3883-8	2016-02-11	2016-02-15	WAL-MART # 3031	12.26	CAD	12.26	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	PICTURES OF EVENTS	
"PARKS, FORESTRY & RECREATION"	3889-4	2016-02-17	2016-02-18	SMILEMAKERS FOR CHILDR	232.75	CAD	232.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10539	S-REC SUPER1-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	TREASURE CHEST FOR MALL FAIR	
					879.40	CAD	879.40	CAD								
TORONTO WATER	3891-4	2016-02-17	2016-02-19	BELL EXPRESSVU COMMERC	169.50	CAD	169.50	CAD	4441	CONTRACTED SERVICES - CABLE TV	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	4812	Telecommunication Equipment Including Te	TELEVISION SERVICE	
TORONTO WATER	3902-3	2016-02-24	2016-02-26	CDN TIRE STORE #00427	101.36	CAD	101.36	CAD	2610	KITCHEN SUPPLIES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5200	Home Supply Warehouse	GENERAL SUPPLIES	
TORONTO WATER	3904-4	2016-02-26	2016-02-29	THE HOME DEPOT #7027	17.99	CAD	17.99	CAD	2710	GENERAL HARDWARE	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5200	Home Supply Warehouse	MAGNET TOOL	
					288.85	CAD	288.85	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3893-6	2016-02-18	2016-02-22	THE PRINTING HOUSE #55	32.43	CAD	32.43	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0059	HS-MH-COLLECTION REGISTRATN-98 ATLANTIC	2741	Miscellaneous Publishing and Printing	GRAPHICS STANDARDS	
ECONOMIC DEVELOPMENT & CULTURE	3893-7	2016-02-20	2016-02-22	LINES 'N CURVES	130.03	CAD	130.03	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	BACKORDER MICROFIBRE CLOTHS	
					162.46	CAD	162.46	CAD								
LONG TERM CARE HOMES & SERVICES	3867-1	2016-02-02	2016-02-04	CALEA LTD	78.02	CAD	78.02	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K144	LAKESHORE LODGE-NS-NA	8099	"Health Practitioners, Medical Services -"	NURSING SUPPLIES & FREIGHT	
LONG TERM CARE HOMES & SERVICES	3872-3	2016-02-05	2016-02-08	SETON	137.13	CAD	137.13	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3K083	LAKESHORE LODGE-PS-PS	5099	Durable Goods Not Elsewhere Classified	ANTI-SLIP TAPE & FRIEGHT	
LONG TERM CARE HOMES & SERVICES	3881-4	2016-02-11	2016-02-12	DESERRES.CA	107.61	CAD	107.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5970	"Artist Supply Stores, Craft Shops"	ART SUPPLIES	
LONG TERM CARE HOMES & SERVICES	3883-9	2016-02-12	2016-02-15	JOERNS HEALTHCARE	"1,272.57"	CAD	"1,272.57"	CAD	2690	BEDDING	D3K144	LAKESHORE LODGE-NS-NA	5047	Laboratory/Medical/Dental/Ophthalmic Hos	"PENDANTS, SCREWS, ANDNUT THREAD INSERT & FREIGHT"	
