Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3851-1	2016-01-21	2016-01-25	LCBO/RAO #0217	449.69	CAD	449.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	BEV FOR PARTICIPANT REG PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	3859-1	2016-01-28	2016-01-29	DAVIDSON FURNITURE SPE	"5,936.01"	CAD	"5,936.01"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5021	Office and Commercial Furniture	TABLES AND CADDY	
					"6,385.70"	CAD	"6,385.70"	CAD								
"PARKS, FORESTRY & RECREATION"	3832-1	2016-01-08	2016-01-11	METRO #37	10.07	CAD	10.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	VINEGAR	
"PARKS, FORESTRY & RECREATION"	3833-1	2016-01-11	2016-01-12	METRO #37	42.77	CAD	42.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PEPPERS, CARROTS, TOMATOES"	
"PARKS, FORESTRY & RECREATION"	3836-1	2016-01-12	2016-01-13	METRO #37	27.33	CAD	27.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"WIENERS, PIE, TORTILLAS"	
"PARKS, FORESTRY & RECREATION"	3840-1	2016-01-13	2016-01-15	YOUR DOLLAR STORE WITH	34.75	CAD	34.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	KITCHEN ACCESORIES	
"PARKS, FORESTRY & RECREATION"	3846-1	2016-01-19	2016-01-20	METRO #37	49.18	CAD	49.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"WIENERS, PIE, TORTILLAS"	
"PARKS, FORESTRY & RECREATION"	3853-1	2016-01-25	2016-01-26	FRESHCO 9750      QPS	69.02	CAD	69.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"CHICKEN BREAST, BASIL, BUTTER"	
					233.12	CAD	233.12	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3850-1	2016-01-21	2016-01-22	ROB'S NO FRILLS STORE	5.28	CAD	5.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	COOKIES	
					5.28	CAD	5.28	CAD								
"PARKS, FORESTRY & RECREATION"	3828-1	2016-01-06	2016-01-07	PETSMART INC 2172	11.29	CAD	11.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5995	Pet Shops - Pet Food and Supplies	HEAT LAMP	
