Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3528-1	2015-06-01	2015-06-03	BURNEY GIFTWARE	"1,236.49"	CAD	"1,236.49"	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5947	"Card, Gift, Novelty, and Souvenir Shops"	RETAIL MERCHANDISE	
ECONOMIC DEVELOPMENT & CULTURE	3530-1	2015-06-03	2015-06-04	ROTBLOTTS DISCOUNT WHS	58.72	CAD	58.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5251	Hardware Stores	ZIP TIES FOR BANNERS	
ECONOMIC DEVELOPMENT & CULTURE	3544-1	2015-06-13	2015-06-15	MODU-LOC FENCE RENTALS	976.32	CAD	976.32	CAD	4468	CONTR SRV - FENCING	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	FENCE	
ECONOMIC DEVELOPMENT & CULTURE	3550-1	2015-06-17	2015-06-18	EXECUTIVE FURNITURE RE	508.50	CAD	508.50	CAD	4515	RENTAL OF OFFICE EQUIPMENT	AH0117	HS-MH-RETAIL-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	RENTAL OF FRONT DESK	
ECONOMIC DEVELOPMENT & CULTURE	3552-1	2015-06-18	2015-06-19	EVENT RENTAL GROUP LIM	"2,994.50"	CAD	"2,994.50"	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0137	HS-MH-BD COMM SUPP-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	TENTING	
ECONOMIC DEVELOPMENT & CULTURE	3555-1	2015-06-22	2015-06-23	NELLA CUTLERY	"4,695.15"	CAD	"4,695.15"	CAD	3050	M & E - KITCHEN	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5719	Miscellaneous House Furnishing Specialty	ICE MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	3557-1	2015-06-22	2015-06-24	TIM HORTONS 4275 QTH	250.01	CAD	250.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5814	Quick Payment Service - Fast-Food Restau	FEE FOR DONATION	
					"10,719.69"	CAD	"10,719.69"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3530-2	2015-06-03	2015-06-04	LOBLAWS STORE #179	13.76	CAD	13.76	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM	
ECONOMIC DEVELOPMENT & CULTURE	3546-1	2015-06-15	2015-06-16	ROB'S NO FRILLS STORE	6.68	CAD	6.68	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0085	HS-MH-PROGRAM SUPPORT-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DISHWASHING SOAP	
					20.44	CAD	20.44	CAD								
PUBLIC HEALTH	3524-1	2015-05-29	2015-06-01	TICKETMASTER	80.00	CAD	80.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
