Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3428-1	2015-03-18	2015-03-20	RBI ROBERTSON BRIGHT I	"2,993.37"	CAD	"2,993.37"	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0137	HS-MH-BD COMM SUPP-FORT YORK	1731	Electrical Contractors	CABLE/CONDUIT FOR SECURITY CAMERAS	
ECONOMIC DEVELOPMENT & CULTURE	3428-2	2015-03-19	2015-03-20	EXECUTIVE FURNITURE RE	508.50	CAD	508.50	CAD	4515	RENTAL OF OFFICE EQUIPMENT	AH0117	HS-MH-RETAIL-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	RENTAL OF FRONT DESK	
ECONOMIC DEVELOPMENT & CULTURE	3428-3	2015-03-19	2015-03-20	TIMELINE SOLUTIONS	828.69	CAD	828.69	CAD	2570	JANITORIAL SUPPLIES	AH0154	CD-AM-FACILITY MGMT-FORT YORK	7349	"Cleaning and Maintenance, Janitorial Ser"	"SPECIALTY CLEANING SUPPLIES-FLOORPAD,SCRUBCLEANER,"	
					"4,330.56"	CAD	"4,330.56"	CAD								
"PARKS, FORESTRY & RECREATION"	3414-1	2015-03-09	2015-03-11	CDN TIRE STORE #00280	9.03	CAD	9.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5200	Home Supply Warehouse	MARCH BREAK YOUTH CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3414-2	2015-03-10	2015-03-11	FOOD BASICS #692	32.85	CAD	32.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06077	PLEASANTVIEW-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	LIT WINTER PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3420-1	2015-03-13	2015-03-16	WAL-MART # 3111	270.34	CAD	270.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	MARCH BREAK ADVENTURE & YOUTH CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3420-2	2015-03-14	2015-03-16	FUTURE SHOP #55	672.30	CAD	672.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10327	PLEASANTVIEW-PRGM SUPPORT	5732	Electronic Sales	GAME CONSOLE	
"PARKS, FORESTRY & RECREATION"	3422-1	2015-03-16	2015-03-17	SHOPPERS DRUG MART #15	120.00	CAD	120.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5912	"Drug Stores, Pharmacies"	MARCH BREAK TTC STUDENT/SENIOR TICKETS	
"PARKS, FORESTRY & RECREATION"	3424-1	2015-03-16	2015-03-18	JACK WATSON SPORTS INC	82.04	CAD	82.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5941	Sporting Goods Stores	MARCH BREAK YOUTH CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3424-2	2015-03-17	2015-03-18	HOBBY WORLD	315.85	CAD	315.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5970	"Artist Supply Stores, Craft Shops"	MARCH BREAK ADVENTURE CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3428-4	2015-03-18	2015-03-20	BOWLERAMA NEWTONBROOK	117.59	CAD	117.59	CAD	4118	TICKETS AND ADMISSION FEES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	7933	Bowling Alleys	MARCH BREAK CAMP TRIP - ADMISSION	
"PARKS, FORESTRY & RECREATION"	3428-5	2015-03-19	2015-03-20	FOOD BASICS #692	270.77	CAD	270.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	MARCH BREAK ADVENTURE & YOUTH CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3434-1	2015-03-18	2015-03-26	JACK WATSON SPORTS INC	17.68	CAD	17.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5941	Sporting Goods Stores	MARCH BREAK ADVENTURE CAMP SUPPLIES	
					"1,908.45"	CAD	"1,908.45"	CAD								
