Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	3975-1	2016-04-12	2016-04-15	SEARS CANADA DIRECT	240.11	CAD	240.11	CAD	3310	FURNISHINGS	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5999	Miscellaneous and Specialty Retail Store	FURNISHINGS	
					240.11	CAD	240.11	CAD								
"PARKS, FORESTRY & RECREATION"	3960-1	2016-04-05	2016-04-06	METRO #37	82.31	CAD	82.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - JUICE BOXES, SUGAR, CINNAMON"	
"PARKS, FORESTRY & RECREATION"	3969-1	2016-04-10	2016-04-12	YOUR DOLLAR STORE WITH	78.82	CAD	78.82	CAD	2610	KITCHEN SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	"PROGRAM SUPPLIES - BAKING PAN, DISH, SKEWERS"	
"PARKS, FORESTRY & RECREATION"	3971-1	2016-04-12	2016-04-13	FRESHCO 9750      QPS	63.09	CAD	63.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - JUICE BOXES, GRANOLA BARS, EGGS"	
"PARKS, FORESTRY & RECREATION"	3975-2	2016-04-13	2016-04-15	YOUR DOLLAR STORE WITH	52.26	CAD	52.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	"COLOURING BOOKS, PLAYDOUGH, MARKERS"	
"PARKS, FORESTRY & RECREATION"	3977-1	2016-04-16	2016-04-18	WAL-MART #3159	34.54	CAD	34.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	12 CASES OF JUICE AND POPS	
"PARKS, FORESTRY & RECREATION"	3981-1	2016-04-19	2016-04-20	METRO #37	68.91	CAD	68.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - FLOUR, LETTUCE, ONIONS, CHEESE"	
"PARKS, FORESTRY & RECREATION"	3985-1	2016-04-21	2016-04-22	METRO #37	8.64	CAD	8.64	CAD	2532	STEEL	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES - EGGS	
"PARKS, FORESTRY & RECREATION"	3994-1	2016-04-26	2016-04-27	METRO #37	60.94	CAD	60.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"PROGRAM SUPPLIES - PINEAPPLE, OIL, RICE, CHICKEN"	
